trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date
19,rådden_compressed.wav,negative,rådden,tortur,babble_8.wav,fjendtlig_reversed.wav,ørken_reversed.wav,0.0,0.0,0.0,0.0,0,-1,-1,0,right,3.429183959960937,left,0,rådden,tortur,50701,1,2025-11-28_11-41-58
37,flirte_compressed.wav,positive,flirte,gratis,babble_27.wav,spise_reversed.wav,blodig_reversed.wav,0.0,1.0,1.0,1.0,0,-1,-1,0,right,1.7937138080596924,left,0,flirte,gratis,50701,1,2025-11-28_11-41-58
1,gaffel_compressed.wav,neutral,gaffel,brutal,babble_43.wav,rigdom_reversed.wav,kujon_reversed.wav,0.0,2.0,2.0,2.0,0,-1,-1,0,left,3.792627096176148,left,1,gaffel,brutal,50701,1,2025-11-28_11-41-58
60,væmmes_compressed.wav,negative,væmmes,maling,babble_33.wav,mave_reversed.wav,borddug_reversed.wav,0.0,3.0,3.0,3.0,0,-1,-1,0,left,3.4841699600219727,right,0,maling,væmmes,50701,1,2025-11-28_11-41-58
75,djævel_compressed.wav,negative,djævel,talent,babble_22.wav,maling_reversed.wav,pjece_reversed.wav,0.0,4.0,4.0,4.0,0,-1,-1,0,right,1.4332621097564695,right,1,talent,djævel,50701,1,2025-11-28_11-41-58
52,nonne_compressed.wav,neutral,nonne,kedel,babble_73.wav,ankel_reversed.wav,voldtægt_reversed.wav,,,,,0,0,0,0,right,1.42413592338562,right,1,kedel,nonne,50701,1,2025-11-28_11-41-58
81,skuffe_compressed.wav,negative,skuffe,redskab,babble_43.wav,mave_reversed.wav,diamant_reversed.wav,,,,,0,1,1,1,left,1.230679988861084,left,1,skuffe,redskab,50701,1,2025-11-28_11-41-58
12,jubel_compressed.wav,positive,jubel,kærtegn,babble_15.wav,fjendtlig_reversed.wav,lækker_reversed.wav,,,,,0,2,2,2,left,0.898219108581543,left,1,jubel,kærtegn,50701,1,2025-11-28_11-41-58
27,afskyr_compressed.wav,negative,afskyr,kæle,babble_47.wav,skyldig_reversed.wav,gave_reversed.wav,,,,,0,3,3,3,left,0.7692370414733887,left,1,afskyr,kæle,50701,1,2025-11-28_11-41-58
72,voldtægt_compressed.wav,negative,voldtægt,minder,babble_10.wav,lyse_reversed.wav,forfald_reversed.wav,,,,,0,4,4,4,right,0.716886043548584,right,1,minder,voldtægt,50701,1,2025-11-28_11-41-58
