trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,main.thisN,response_key,rt,Participant ID,Session,date,word,pleasure,arousal,dominance,face_model_sex,facial_expression,true_face_valence
17,AM30NES.JPG,kiste_compressed.wav,negative,babble_80.wav,metal_reversed.wav,hader_reversed.wav,-1,5,5.032509088516235,50701,1,2025-11-28_11-12-15,kiste,29.024943,57.029478,46.258503,Male,Neutral,"3,58"
152,AF35NES.JPG,bryllup_compressed.wav,positive,babble_35.wav,pude_reversed.wav,lyse_reversed.wav,-1,4,1.5300710201263428,50701,1,2025-11-28_11-12-15,bryllup,88.662132,67.687075,75.736961,Female,Neutral,"3,69"
112,AF03NES.JPG,succes_compressed.wav,positive,babble_68.wav,fængsel_reversed.wav,rigdom_reversed.wav,-1,3,6.124786138534546,50701,1,2025-11-28_11-12-15,succes,93.99093,69.274376,78.117914,Female,Neutral,"3,78"
81,AM20ANS.JPG,boble_compressed.wav,neutral,babble_82.wav,tumor_reversed.wav,taber_reversed.wav,-1,3,2.201662063598633,50701,1,2025-11-28_11-12-15,boble,55.442177,44.671202,51.814059,Male,Angry,"2,90"
86,AM31HAS.JPG,latter_compressed.wav,positive,babble_44.wav,illoyal_reversed.wav,feber_reversed.wav,-1,9,0.2110309600830078,50701,1,2025-11-28_11-12-15,latter,95.804989,76.530612,73.129252,Male,Happy,"5,38"
32,AF17ANS.JPG,SILENCE,no-prime,babble_16.wav,rabies_reversed.wav,tilfreds_reversed.wav,-1,3,0.6985318660736084,50701,1,2025-11-28_11-12-15,SILENCE,,,,Female,Angry,"2,18"
63,AM16ANS.JPG,feber_compressed.wav,negative,babble_55.wav,banner_reversed.wav,skønhed_reversed.wav,0,6,1.3135569095611572,50701,1,2025-11-28_11-12-15,feber,31.292517,48.639456,39.909297,Male,Angry,"2,68"
111,AM25HAS.JPG,grimme_compressed.wav,negative,babble_17.wav,motor_reversed.wav,ketchup_reversed.wav,1,9,1.103429079055786,50701,1,2025-11-28_11-12-15,grimme,27.55102,60.997732,48.29932,Male,Happy,"5,90"
88,AM09NES.JPG,gave_compressed.wav,positive,babble_20.wav,skønhed_reversed.wav,smerte_reversed.wav,2,5,1.6771008968353271,50701,1,2025-11-28_11-12-15,gave,88.095238,69.614512,62.585034,Male,Neutral,"3,71"
166,AF13NES.JPG,hage_compressed.wav,neutral,babble_57.wav,banner_reversed.wav,viden_reversed.wav,3,5,0.0659031867980957,50701,1,2025-11-28_11-12-15,hage,59.977324,37.528345,59.637188,Female,Neutral,"3,89"
