trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
75,bryllup_compressed.wav,positive,bryllup,kedel,babble_93.wav,frygtsom_reversed.wav,maling_reversed.wav,0,0,0,0,0,-1,-1,0,,,left,1.135903458998655,left,1,bryllup,kedel,real_5474,001,2025-11-24_11-05-05,
5,knude_compressed.wav,neutral,knude,søsyg,babble_71.wav,grimme_reversed.wav,magisk_reversed.wav,0,1,1,1,0,-1,-1,0,,,right,1.8001962089983863,right,1,søsyg,knude,real_5474,001,2025-11-24_11-05-05,
19,ydmyg_compressed.wav,neutral,ydmyg,trussel,babble_58.wav,skade_reversed.wav,glæde_reversed.wav,0,2,2,2,0,-1,-1,0,,,left,1.4642404999976861,left,1,ydmyg,trussel,real_5474,001,2025-11-24_11-05-05,
49,udskud_compressed.wav,negative,udskud,glæde,babble_48.wav,røver_reversed.wav,dollar_reversed.wav,0,3,3,3,0,-1,-1,0,,,right,0.7756005830015056,right,1,glæde,udskud,real_5474,001,2025-11-24_11-05-05,
13,redning_compressed.wav,positive,redning,salat,babble_14.wav,konge_reversed.wav,heldig_reversed.wav,0,4,4,4,0,-1,-1,0,,,left,1.839083541999571,left,1,redning,salat,real_5474,001,2025-11-24_11-05-05,
26,konge_compressed.wav,positive,konge,beskidt,babble_58.wav,kage_reversed.wav,blomstre_reversed.wav,,,,,0,0,0,0,,,right,1.0211638330001733,right,1,beskidt,konge,real_5474,001,2025-11-24_11-05-05,
28,genert_compressed.wav,neutral,genert,sygdom,babble_82.wav,mester_reversed.wav,gave_reversed.wav,,,,,0,1,1,1,,,right,1.0056888749968493,right,1,sygdom,genert,real_5474,001,2025-11-24_11-05-05,
31,magisk_compressed.wav,positive,magisk,dæmpet,babble_30.wav,finger_reversed.wav,rotte_reversed.wav,,,,,0,2,2,2,,,right,1.2196562500030268,left,0,magisk,dæmpet,real_5474,001,2025-11-24_11-05-05,
50,papir_compressed.wav,neutral,papir,statue,babble_36.wav,nøgle_reversed.wav,skuffe_reversed.wav,,,,,0,3,3,3,,,right,0.8983137500035809,right,1,statue,papir,real_5474,001,2025-11-24_11-05-05,
54,enhed_compressed.wav,neutral,enhed,oprør,babble_37.wav,heldig_reversed.wav,opstemt_reversed.wav,,,,,0,4,4,4,,,left,1.5217412499987404,left,1,enhed,oprør,real_5474,001,2025-11-24_11-05-05,
62,ferie_compressed.wav,positive,ferie,minder,babble_64.wav,bombe_reversed.wav,taxa_reversed.wav,,,,,0,5,5,5,,,left,1.5126598330025445,right,0,minder,ferie,real_5474,001,2025-11-24_11-05-05,
23,voldtægt_compressed.wav,negative,voldtægt,succes,babble_98.wav,cirkel_reversed.wav,ensom_reversed.wav,,,,,0,6,6,6,,,right,1.7577384169999277,right,1,succes,voldtægt,real_5474,001,2025-11-24_11-05-05,
82,beskidt_compressed.wav,negative,beskidt,brutal,babble_60.wav,metal_reversed.wav,ketchup_reversed.wav,,,,,0,7,7,7,,,right,0.9309053329998278,right,1,brutal,beskidt,real_5474,001,2025-11-24_11-05-05,
52,succes_compressed.wav,positive,succes,blomstre,babble_52.wav,varme_reversed.wav,luksus_reversed.wav,,,,,0,8,8,8,,,right,0.6283917919936357,right,1,blomstre,succes,real_5474,001,2025-11-24_11-05-05,
