signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,trial_outcome,signal_type,compression_level,correct_word,prime_file,babble_duration,Participant ID,Session,date,
present,0.3,offer_compressed.wav,offer,babble_9.wav,kiste_reversed.wav,lækker_reversed.wav,0,0,0,0,0,-1,-1,0,z,6.4954516887664795,Miss,present,0.3,offer,offer_compressed.wav,1.4670287263374449,0810,001,2025-11-26_20-29-23,
absent,0.5,SILENCE,NA,babble_75.wav,pjece_reversed.wav,grimme_reversed.wav,0,1,1,1,0,-1,-1,0,z,0.7218892574310303,Correct Rejection,absent,0.5,NA,SILENCE,1.0528077569620076,0810,001,2025-11-26_20-29-23,
present,0.4,offer_compressed.wav,offer,babble_85.wav,respekt_reversed.wav,genert_reversed.wav,0,2,2,2,0,-1,-1,0,z,0.9029302597045898,Miss,present,0.4,offer,offer_compressed.wav,1.4420590158367719,0810,001,2025-11-26_20-29-23,
absent,0.1,SILENCE,NA,babble_71.wav,gratis_reversed.wav,boble_reversed.wav,0,3,3,3,0,-1,-1,0,z,11.381826400756836,Correct Rejection,absent,0.1,NA,SILENCE,0.9101938410141384,0810,001,2025-11-26_20-29-23,
absent,0.2,SILENCE,NA,babble_86.wav,misbrug_reversed.wav,respekt_reversed.wav,0,4,4,4,0,-1,-1,0,z,1.4113366603851318,Correct Rejection,absent,0.2,NA,SILENCE,0.5247905970990034,0810,001,2025-11-26_20-29-23,
present,0.7,kugle_compressed.wav,kugle,babble_10.wav,konge_reversed.wav,humor_reversed.wav,0,5,5,5,0,-1,-1,0,z,1.6889450550079346,Miss,present,0.7,kugle,kugle_compressed.wav,0.6428732010942746,0810,001,2025-11-26_20-29-23,
present,0.5,bange_compressed.wav,bange,babble_41.wav,skade_reversed.wav,forkert_reversed.wav,0,6,6,6,0,-1,-1,0,z,3.7044761180877686,Miss,present,0.5,bange,bange_compressed.wav,0.6000808828857103,0810,001,2025-11-26_20-29-23,
absent,0.4,SILENCE,NA,babble_2.wav,kontor_reversed.wav,himmel_reversed.wav,0,7,7,7,0,-1,-1,0,z,2.831578016281128,Correct Rejection,absent,0.4,NA,SILENCE,0.8882913723959951,0810,001,2025-11-26_20-29-23,
absent,0.6,SILENCE,NA,babble_29.wav,grusom_reversed.wav,feber_reversed.wav,0,8,8,8,0,-1,-1,0,z,1.655576467514038,Correct Rejection,absent,0.6,NA,SILENCE,0.9482302695075123,0810,001,2025-11-26_20-29-23,
present,0.1,trofæ_compressed.wav,trofæ,babble_62.wav,drukne_reversed.wav,gaffel_reversed.wav,0,9,9,9,0,-1,-1,0,m,1.2283062934875488,Hit,present,0.1,trofæ,trofæ_compressed.wav,0.8635383445671327,0810,001,2025-11-26_20-29-23,
