signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
present,0.2,knude_compressed.wav,knude,babble_82.wav,fængsel_reversed.wav,knude_reversed.wav,0,0,0,0,0,-1,-1,0,,,z,18.793415833992185,Miss,1.4320992993194568,99999,001,2025-11-20_13-11-42,
present,0.3,bange_compressed.wav,bange,babble_11.wav,stjerne_reversed.wav,dollar_reversed.wav,0,1,1,1,0,-1,-1,0,,,m,2.483447292004712,Hit,1.4960349120675986,99999,001,2025-11-20_13-11-42,
absent,0.3,SILENCE,NA,babble_92.wav,hjerte_reversed.wav,sandhed_reversed.wav,0,2,2,2,0,-1,-1,0,,,z,1.5020054579945281,Correct Rejection,0.5167191644526161,99999,001,2025-11-20_13-11-42,
present,0.6,jubel_compressed.wav,jubel,babble_38.wav,brutal_reversed.wav,misbrug_reversed.wav,0,3,3,3,0,-1,-1,0,,,z,1.8229812080098782,Miss,1.0681264276652018,99999,001,2025-11-20_13-11-42,
absent,0.7,SILENCE,NA,babble_90.wav,banner_reversed.wav,luksus_reversed.wav,0,4,4,4,0,-1,-1,0,,,z,0.8881194579880685,Correct Rejection,0.527040881262774,99999,001,2025-11-20_13-11-42,
present,0.7,bygning_compressed.wav,bygning,babble_62.wav,ledning_reversed.wav,hage_reversed.wav,0,5,5,5,0,-1,-1,0,,,z,2.078381416009506,Miss,1.2076854469056033,99999,001,2025-11-20_13-11-42,
absent,0.4,SILENCE,NA,babble_68.wav,rædsel_reversed.wav,forkert_reversed.wav,0,6,6,6,0,-1,-1,0,,,z,2.8589832500147168,Correct Rejection,1.261967099305581,99999,001,2025-11-20_13-11-42,
present,0.1,ketchup_compressed.wav,ketchup,babble_40.wav,redskab_reversed.wav,ketchup_reversed.wav,0,7,7,7,0,-1,-1,0,,,m,1.2612019999942277,Hit,0.8901309039060463,99999,001,2025-11-20_13-11-42,
absent,0.1,SILENCE,NA,babble_17.wav,bombe_reversed.wav,fase_reversed.wav,0,8,8,8,0,-1,-1,0,,,z,1.314024374994915,Correct Rejection,1.1460469581077644,99999,001,2025-11-20_13-11-42,
present,0.5,intim_compressed.wav,intim,babble_28.wav,djævel_reversed.wav,vandal_reversed.wav,0,9,9,9,0,-1,-1,0,,,m,1.6472237500129268,Hit,1.158338370140134,99999,001,2025-11-20_13-11-42,
absent,0.5,SILENCE,NA,babble_96.wav,oprørt_reversed.wav,marked_reversed.wav,0,10,10,10,0,-1,-1,0,,,m,2.463524375023553,False Alarm,1.382971204034873,99999,001,2025-11-20_13-11-42,
absent,0.6,SILENCE,NA,babble_20.wav,tilfreds_reversed.wav,måned_reversed.wav,0,11,11,11,0,-1,-1,0,,,z,1.3198051250074059,Correct Rejection,0.9421163722176944,99999,001,2025-11-20_13-11-42,
absent,0.2,SILENCE,NA,babble_92.wav,sindssyg_reversed.wav,rådden_reversed.wav,0,12,12,12,0,-1,-1,0,,,z,1.5853736249846406,Correct Rejection,0.6609060557706914,99999,001,2025-11-20_13-11-42,
