signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
absent,0.1,SILENCE,NA,bab5.wav,rotte_reversed.wav,humor_reversed.wav,0,0,0,0,0,-1,-1,0,,,z,1.4244805420003104,Correct Rejection,1.1065819662747418,johanv1,001,2025-11-13_16-36-05,
absent,0.5,SILENCE,NA,bab9.wav,avis_reversed.wav,kande_reversed.wav,0,1,1,1,0,-1,-1,0,,,z,1.0472129169993423,Correct Rejection,1.1066365465669743,johanv1,001,2025-11-13_16-36-05,
present,0.5,sæde_compressed.wav,sæde,bab21.wav,patent_reversed.wav,talent_reversed.wav,0,2,2,2,0,-1,-1,0,,,z,0.9887176669999462,Miss,1.2943098577870815,johanv1,001,2025-11-13_16-36-05,
absent,0.7,SILENCE,NA,bab4.wav,vandfald_reversed.wav,væmmes_reversed.wav,0,3,3,3,0,-1,-1,0,,,z,0.9378766249992623,Correct Rejection,0.5566850359156293,johanv1,001,2025-11-13_16-36-05,
absent,0.4,SILENCE,NA,bab21.wav,tortur_reversed.wav,søsyg_reversed.wav,0,4,4,4,0,-1,-1,0,,,z,4.6055875410002045,Correct Rejection,1.0777405501268325,johanv1,001,2025-11-13_16-36-05,
absent,0.3,SILENCE,NA,bab9.wav,kærtegn_reversed.wav,kujon_reversed.wav,0,5,5,5,0,-1,-1,0,,,z,2.0189397500007544,Correct Rejection,0.7987939286961682,johanv1,001,2025-11-13_16-36-05,
present,0.2,talent_compressed.wav,talent,bab13.wav,salat_reversed.wav,koldbrand_reversed.wav,0,6,6,6,0,-1,-1,0,,,m,0.8003038329998162,Hit,1.0127482721561476,johanv1,001,2025-11-13_16-36-05,
present,0.6,venlig_compressed.wav,venlig,bab15.wav,violin_reversed.wav,himlen_reversed.wav,0,7,7,7,0,-1,-1,0,,,z,0.7741357919994698,Miss,1.331529098354871,johanv1,001,2025-11-13_16-36-05,
absent,0.2,SILENCE,NA,bab20.wav,mave_reversed.wav,fjendtlig_reversed.wav,0,8,8,8,0,-1,-1,0,,,z,0.7956432080000013,Correct Rejection,1.1773394825619807,johanv1,001,2025-11-13_16-36-05,
absent,0.6,SILENCE,NA,bab21.wav,himlen_reversed.wav,varme_reversed.wav,0,9,9,9,0,-1,-1,0,,,z,0.467984666999655,Correct Rejection,1.4696833792010295,johanv1,001,2025-11-13_16-36-05,
present,0.3,skammel_compressed.wav,skammel,bab6.wav,skyldig_reversed.wav,sikker_reversed.wav,0,10,10,10,0,-1,-1,0,,,m,1.0023221249994094,Hit,0.7072581502673441,johanv1,001,2025-11-13_16-36-05,
present,0.4,taxa_compressed.wav,taxa,bab14.wav,pjece_reversed.wav,genstand_reversed.wav,0,11,11,11,0,-1,-1,0,,,m,1.2727166659997238,Hit,1.4935847790092027,johanv1,001,2025-11-13_16-36-05,
present,0.1,mester_compressed.wav,mester,bab9.wav,trussel_reversed.wav,papir_reversed.wav,0,12,12,12,0,-1,-1,0,,,m,1.211535792000177,Hit,0.9574776958894643,johanv1,001,2025-11-13_16-36-05,
