signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
present,0.1,røver_compressed.wav,røver,babble_72.wav,smerte_reversed.wav,kujon_reversed.wav,0,0,0,0,0,-1,-1,0,,,z,11.636342250014422,Miss,1.0262194919113594,88776655,001,2025-11-21_10-26-58,
absent,0.4,SILENCE,NA,babble_20.wav,konge_reversed.wav,bygning_reversed.wav,0,1,1,1,0,-1,-1,0,,,z,1.7589764169824775,Correct Rejection,0.9753503475399138,88776655,001,2025-11-21_10-26-58,
absent,0.5,SILENCE,NA,babble_77.wav,illoyal_reversed.wav,oprørt_reversed.wav,0,2,2,2,0,-1,-1,0,,,z,1.0733609170129057,Correct Rejection,1.3853291227194884,88776655,001,2025-11-21_10-26-58,
present,0.5,latter_compressed.wav,latter,babble_78.wav,kage_reversed.wav,rotte_reversed.wav,0,3,3,3,0,-1,-1,0,,,z,8.832754916977137,Miss,0.8330276252265288,88776655,001,2025-11-21_10-26-58,
present,0.6,ørken_compressed.wav,ørken,babble_88.wav,skyldig_reversed.wav,museum_reversed.wav,0,4,4,4,0,-1,-1,0,,,m,2.9721955840068404,Hit,1.0074541043871632,88776655,001,2025-11-21_10-26-58,
absent,0.3,SILENCE,NA,babble_57.wav,statue_reversed.wav,dollar_reversed.wav,0,5,5,5,0,-1,-1,0,,,z,2.6807156249997206,Correct Rejection,0.9457380237326893,88776655,001,2025-11-21_10-26-58,
absent,0.2,SILENCE,NA,babble_17.wav,kæle_reversed.wav,tortur_reversed.wav,0,6,6,6,0,-1,-1,0,,,m,2.657844291010406,False Alarm,1.1887355718449841,88776655,001,2025-11-21_10-26-58,
present,0.7,salat_compressed.wav,salat,babble_39.wav,cirkel_reversed.wav,engel_reversed.wav,0,7,7,7,0,-1,-1,0,,,m,1.679019207978854,Hit,1.1343638241130283,88776655,001,2025-11-21_10-26-58,
present,0.4,intim_compressed.wav,intim,babble_65.wav,rådden_reversed.wav,ledning_reversed.wav,0,8,8,8,0,-1,-1,0,,,z,1.2226550419873092,Miss,1.1725430722215333,88776655,001,2025-11-21_10-26-58,
absent,0.1,SILENCE,NA,babble_15.wav,vinde_reversed.wav,borddug_reversed.wav,0,9,9,9,0,-1,-1,0,,,z,1.6652993749885354,Correct Rejection,1.4676833759975896,88776655,001,2025-11-21_10-26-58,
present,0.3,lærer_compressed.wav,lærer,babble_30.wav,papir_reversed.wav,traume_reversed.wav,0,10,10,10,0,-1,-1,0,,,z,9.063998375000665,Miss,0.5806292008528396,88776655,001,2025-11-21_10-26-58,
