signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
absent,0.2,SILENCE,NA,babble_43.wav,pervers_reversed.wav,skuffe_reversed.wav,0,0,0,0,0,-1,-1,0,,,z,3.4099969590024557,Correct Rejection,1.4372162174812897,johan_new,001,2025-11-16_23-36-49,
absent,0.6,SILENCE,NA,babble_18.wav,fjendtlig_reversed.wav,bange_reversed.wav,0,1,1,1,0,-1,-1,0,,,z,0.8748125829952187,Correct Rejection,0.868398872264286,johan_new,001,2025-11-16_23-36-49,
present,0.7,redskab_compressed.wav,redskab,babble_47.wav,beskidt_reversed.wav,konkurs_reversed.wav,0,2,2,2,0,-1,-1,0,,,z,2.0227927079977235,Miss,0.5107016585537872,johan_new,001,2025-11-16_23-36-49,
absent,0.3,SILENCE,NA,babble_35.wav,grusom_reversed.wav,enhed_reversed.wav,0,3,3,3,0,-1,-1,0,,,z,0.6059911670017755,Correct Rejection,1.1963511405746852,johan_new,001,2025-11-16_23-36-49,
present,0.6,gade_compressed.wav,gade,babble_46.wav,tortur_reversed.wav,mave_reversed.wav,0,4,4,4,0,-1,-1,0,,,m,0.50114795799891,Hit,0.8144657257764486,johan_new,001,2025-11-16_23-36-49,
absent,0.5,SILENCE,NA,babble_49.wav,rotte_reversed.wav,skade_reversed.wav,0,5,5,5,0,-1,-1,0,,,z,0.6667717919990537,Correct Rejection,0.645374211167197,johan_new,001,2025-11-16_23-36-49,
absent,0.1,SILENCE,NA,babble_30.wav,tortur_reversed.wav,ørken_reversed.wav,0,6,6,6,0,-1,-1,0,,,z,0.8419460419972893,Correct Rejection,0.9590110413636733,johan_new,001,2025-11-16_23-36-49,
present,0.5,sæde_compressed.wav,sæde,babble_34.wav,tilfreds_reversed.wav,grusom_reversed.wav,0,7,7,7,0,-1,-1,0,,,z,0.4441085420039599,Miss,0.7329210509668032,johan_new,001,2025-11-16_23-36-49,
present,0.1,motor_compressed.wav,motor,babble_45.wav,plakat_reversed.wav,gidsel_reversed.wav,0,8,8,8,0,-1,-1,0,,,m,0.4022120410008938,Hit,0.878513621366598,johan_new,001,2025-11-16_23-36-49,
present,0.4,salat_compressed.wav,salat,babble_16.wav,sindssyg_reversed.wav,trussel_reversed.wav,0,9,9,9,0,-1,-1,0,,,m,0.773270625002624,Hit,0.7501613586507597,johan_new,001,2025-11-16_23-36-49,
absent,0.7,SILENCE,NA,babble_41.wav,sandhed_reversed.wav,festlig_reversed.wav,0,10,10,10,0,-1,-1,0,,,z,1.1466090829999303,Correct Rejection,1.4245590127659788,johan_new,001,2025-11-16_23-36-49,
present,0.2,tilfreds_compressed.wav,tilfreds,babble_11.wav,bygning_reversed.wav,plakat_reversed.wav,0,11,11,11,0,-1,-1,0,,,m,1.3579891249974025,Hit,1.4107950383719858,johan_new,001,2025-11-16_23-36-49,
absent,0.4,SILENCE,NA,babble_34.wav,mester_reversed.wav,magisk_reversed.wav,0,12,12,12,0,-1,-1,0,,,z,1.4068749579964788,Correct Rejection,0.7239855103891127,johan_new,001,2025-11-16_23-36-49,
present,0.3,feber_compressed.wav,feber,babble_16.wav,skønhed_reversed.wav,beskidt_reversed.wav,0,13,13,13,0,-1,-1,0,,,z,0.7861360419992707,Miss,1.1590874137957896,johan_new,001,2025-11-16_23-36-49,
present,0.6,ugle_compressed.wav,ugle,babble_26.wav,gratis_reversed.wav,regnbue_reversed.wav,,,,,0,0,0,0,,,z,0.5258137089986121,Miss,0.6165997264632448,johan_new,001,2025-11-16_23-36-49,
