signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
absent,0.1,SILENCE,NA,babble_0.wav,talent_reversed.wav,varme_reversed.wav,0,0,0,0,0,-1,-1,0,,,z,5.543426400003227,Correct Rejection,0.8364875941527998,2011,001,2025-11-20_15-05-10,
present,0.4,skuffe_compressed.wav,skuffe,babble_44.wav,frygtsom_reversed.wav,syndig_reversed.wav,0,1,1,1,0,-1,-1,0,,,z,1.8146234000014374,Miss,0.8049638928716377,2011,001,2025-11-20_15-05-10,
present,0.7,blomstre_compressed.wav,blomstre,babble_36.wav,brænde_reversed.wav,utro_reversed.wav,0,2,2,2,0,-1,-1,0,,,m,0.6936819000002288,Hit,1.3719730819663165,2011,001,2025-11-20_15-05-10,
present,0.3,gave_compressed.wav,gave,babble_99.wav,hage_reversed.wav,konkurs_reversed.wav,0,3,3,3,0,-1,-1,0,,,z,2.480512300000555,Miss,0.9604833110419747,2011,001,2025-11-20_15-05-10,
absent,0.7,SILENCE,NA,babble_68.wav,nonne_reversed.wav,utro_reversed.wav,0,4,4,4,0,-1,-1,0,,,z,0.9842468000024382,Correct Rejection,0.6393359583823599,2011,001,2025-11-20_15-05-10,
absent,0.2,SILENCE,NA,babble_74.wav,metal_reversed.wav,ledning_reversed.wav,0,5,5,5,0,-1,-1,0,,,z,0.9430625000022701,Correct Rejection,0.7144730734849797,2011,001,2025-11-20_15-05-10,
present,0.5,søsyg_compressed.wav,søsyg,babble_93.wav,taber_reversed.wav,fremskridt_reversed.wav,0,6,6,6,0,-1,-1,0,,,m,0.7590774000018428,Hit,1.0928365616397864,2011,001,2025-11-20_15-05-10,
absent,0.5,SILENCE,NA,babble_28.wav,sikker_reversed.wav,heldig_reversed.wav,0,7,7,7,0,-1,-1,0,,,z,0.9954261000020779,Correct Rejection,1.206796348356129,2011,001,2025-11-20_15-05-10,
absent,0.6,SILENCE,NA,babble_78.wav,respekt_reversed.wav,spænding_reversed.wav,0,8,8,8,0,-1,-1,0,,,z,0.5155497000014293,Correct Rejection,1.3015646565631829,2011,001,2025-11-20_15-05-10,
present,0.2,frygtsom_compressed.wav,frygtsom,babble_30.wav,gidsel_reversed.wav,lyse_reversed.wav,0,9,9,9,0,-1,-1,0,,,m,0.5132459000014933,Hit,1.2374827604134722,2011,001,2025-11-20_15-05-10,
absent,0.4,SILENCE,NA,babble_91.wav,traume_reversed.wav,himmel_reversed.wav,0,10,10,10,0,-1,-1,0,,,z,0.5591242000009515,Correct Rejection,0.918944496512171,2011,001,2025-11-20_15-05-10,
present,0.1,bange_compressed.wav,bange,babble_48.wav,ugle_reversed.wav,museum_reversed.wav,0,11,11,11,0,-1,-1,0,,,m,0.5143542000005255,Hit,0.980897665360182,2011,001,2025-11-20_15-05-10,
present,0.6,ærlig_compressed.wav,ærlig,babble_23.wav,fase_reversed.wav,sæde_reversed.wav,0,12,12,12,0,-1,-1,0,,,z,3.0907971000015095,Miss,1.2191575963530155,2011,001,2025-11-20_15-05-10,
absent,0.3,SILENCE,NA,babble_28.wav,traume_reversed.wav,stjerne_reversed.wav,0,13,13,13,0,-1,-1,0,,,z,0.5707370000018273,Correct Rejection,1.318601754183791,2011,001,2025-11-20_15-05-10,
absent,0.1,SILENCE,NA,babble_48.wav,skade_reversed.wav,hage_reversed.wav,,,,,0,0,0,0,,,z,1.644086200001766,Correct Rejection,0.7577028699542002,2011,001,2025-11-20_15-05-10,
present,0.1,dæmon_compressed.wav,dæmon,babble_52.wav,sygdom_reversed.wav,sikker_reversed.wav,,,,,0,1,1,1,,,z,3.539789700000256,Miss,1.357359479006385,2011,001,2025-11-20_15-05-10,
present,0.6,regnbue_compressed.wav,regnbue,babble_36.wav,nøgle_reversed.wav,engel_reversed.wav,,,,,0,2,2,2,,,z,0.6052769999987504,Miss,1.3916931052407007,2011,001,2025-11-20_15-05-10,
