signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
absent,0.4,SILENCE,NA,bab20.wav,djævel_reversed.wav,forpint_reversed.wav,0,0,0,0,0,-1,-1,0,,,z,2.3528841250000028,Correct Rejection,1.3972979136971269,victor1,001,2025-11-13_13-47-52,
present,0.5,rådden_compressed.wav,rådden,bab9.wav,fjendtlig_reversed.wav,søsyg_reversed.wav,0,1,1,1,0,-1,-1,0,,,m,1.9667401670000118,Hit,0.6160655585452698,victor1,001,2025-11-13_13-47-52,
absent,0.2,SILENCE,NA,bab21.wav,museum_reversed.wav,koldbrand_reversed.wav,0,2,2,2,0,-1,-1,0,,,z,1.7564759999999637,Correct Rejection,0.6910581187742607,victor1,001,2025-11-13_13-47-52,
present,0.2,magisk_compressed.wav,magisk,bab13.wav,kedel_reversed.wav,fase_reversed.wav,0,3,3,3,0,-1,-1,0,,,m,1.7620226250000428,Hit,0.6426951246598194,victor1,001,2025-11-13_13-47-52,
present,0.7,grimme_compressed.wav,grimme,bab5.wav,putte_reversed.wav,gade_reversed.wav,0,4,4,4,0,-1,-1,0,,,m,0.7523924169999532,Hit,1.101734411132728,victor1,001,2025-11-13_13-47-52,
absent,0.7,SILENCE,NA,bab15.wav,kedel_reversed.wav,nonsens_reversed.wav,0,5,5,5,0,-1,-1,0,,,z,1.3674975419999669,Correct Rejection,0.5032285259725963,victor1,001,2025-11-13_13-47-52,
present,0.1,ketchup_compressed.wav,ketchup,bab14.wav,himmel_reversed.wav,offer_reversed.wav,0,6,6,6,0,-1,-1,0,,,m,1.6640210420000017,Hit,1.4462639689109134,victor1,001,2025-11-13_13-47-52,
absent,0.6,SILENCE,NA,bab10.wav,illoyal_reversed.wav,stjerne_reversed.wav,0,7,7,7,0,-1,-1,0,,,m,2.3474688329999935,False Alarm,1.0356046609006624,victor1,001,2025-11-13_13-47-52,
absent,0.5,SILENCE,NA,bab21.wav,redskab_reversed.wav,engel_reversed.wav,0,8,8,8,0,-1,-1,0,,,z,0.8436188329999936,Correct Rejection,1.389314359153771,victor1,001,2025-11-13_13-47-52,
absent,0.1,SILENCE,NA,bab5.wav,museum_reversed.wav,grusom_reversed.wav,0,9,9,9,0,-1,-1,0,,,z,1.2163079169999946,Correct Rejection,0.9145180968544624,victor1,001,2025-11-13_13-47-52,
