trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
156,AF16ANS.JPG,succes_compressed.wav,positive,babble_34.wav,trofæ_reversed.wav,ledning_reversed.wav,0,0,0,0,0,-1,-1,0,2,3.507877826690674,1234,001,2025-11-28_15-21-14,
114,AM15HAS.JPG,jubel_compressed.wav,positive,babble_70.wav,brænde_reversed.wav,pude_reversed.wav,0,1,1,1,0,-1,-1,0,6,2.0176658630371094,1234,001,2025-11-28_15-21-14,
11,AF20NES.JPG,oprørt_compressed.wav,negative,babble_83.wav,lyse_reversed.wav,putte_reversed.wav,0,2,2,2,0,-1,-1,0,3,1.8024420738220215,1234,001,2025-11-28_15-21-14,
145,AM04ANS.JPG,cirkel_compressed.wav,neutral,babble_47.wav,sexet_reversed.wav,pervers_reversed.wav,0,3,3,3,0,-1,-1,0,3,1.786329984664917,1234,001,2025-11-28_15-21-14,
33,AF22ANS.JPG,SILENCE,no-prime,babble_87.wav,heldig_reversed.wav,magisk_reversed.wav,0,4,4,4,0,-1,-1,0,3,0.888110876083374,1234,001,2025-11-28_15-21-14,
78,AM28NES.JPG,væmmes_compressed.wav,negative,babble_32.wav,kontor_reversed.wav,lampe_reversed.wav,0,5,5,5,0,-1,-1,0,5,2.3680670261383057,1234,001,2025-11-28_15-21-14,
52,AF04NES.JPG,trofæ_compressed.wav,positive,babble_50.wav,boble_reversed.wav,rabies_reversed.wav,,,,,0,0,0,0,4,2.4748849868774414,1234,001,2025-11-28_15-21-14,
32,AM17ANS.JPG,SILENCE,no-prime,babble_81.wav,engel_reversed.wav,rabies_reversed.wav,,,,,0,1,1,1,6,3.2046868801116943,1234,001,2025-11-28_15-21-14,
129,AM13NES.JPG,sollys_compressed.wav,positive,babble_11.wav,sejre_reversed.wav,brænde_reversed.wav,,,,,0,2,2,2,5,0.43457984924316406,1234,001,2025-11-28_15-21-14,
182,AF04ANS.JPG,knude_compressed.wav,neutral,babble_61.wav,syndig_reversed.wav,forpint_reversed.wav,,,,,0,3,3,3,2,2.5247390270233154,1234,001,2025-11-28_15-21-14,
4,AF13ANS.JPG,nedbrud_compressed.wav,negative,babble_77.wav,redskab_reversed.wav,forkert_reversed.wav,,,,,0,4,4,4,4,1.2021899223327637,1234,001,2025-11-28_15-21-14,
183,AF07HAS.JPG,grimme_compressed.wav,negative,babble_51.wav,sæde_reversed.wav,tumor_reversed.wav,,,,,0,5,5,5,7,1.0148489475250244,1234,001,2025-11-28_15-21-14,
3,AF05HAS.JPG,SILENCE,no-prime,babble_93.wav,maling_reversed.wav,hjerte_reversed.wav,,,,,0,6,6,6,6,0.6849370002746582,1234,001,2025-11-28_15-21-14,
184,AF19NES.JPG,fedme_compressed.wav,negative,babble_9.wav,salat_reversed.wav,forkert_reversed.wav,,,,,0,7,7,7,5,0.751323938369751,1234,001,2025-11-28_15-21-14,
101,AM31NES.JPG,kæle_compressed.wav,positive,babble_79.wav,fjollet_reversed.wav,taber_reversed.wav,,,,,0,8,8,8,5,0.6825160980224609,1234,001,2025-11-28_15-21-14,
67,AM18NES.JPG,frihed_compressed.wav,positive,babble_54.wav,plakat_reversed.wav,poesi_reversed.wav,,,,,0,9,9,9,4,1.4548470973968506,1234,001,2025-11-28_15-21-14,
65,AM27HAS.JPG,mave_compressed.wav,neutral,babble_73.wav,bombe_reversed.wav,dæmon_reversed.wav,,,,,0,10,10,10,7,1.6351649761199951,1234,001,2025-11-28_15-21-14,
70,AM27ANS.JPG,magisk_compressed.wav,positive,babble_64.wav,luksus_reversed.wav,sejre_reversed.wav,,,,,0,11,11,11,3,1.4562299251556396,1234,001,2025-11-28_15-21-14,
98,AM15NES.JPG,frihed_compressed.wav,positive,babble_80.wav,krise_reversed.wav,affald_reversed.wav,,,,,0,12,12,12,6,1.8664319515228271,1234,001,2025-11-28_15-21-14,
20,AF28ANS.JPG,ærlig_compressed.wav,positive,babble_59.wav,poesi_reversed.wav,luksus_reversed.wav,,,,,0,13,13,13,3,1.1507070064544678,1234,001,2025-11-28_15-21-14,
142,AM23NES.JPG,hånlig_compressed.wav,negative,babble_65.wav,sandhed_reversed.wav,himlen_reversed.wav,,,,,0,14,14,14,4,1.253777027130127,1234,001,2025-11-28_15-21-14,
153,AM26NES.JPG,redskab_compressed.wav,neutral,babble_7.wav,sæde_reversed.wav,måned_reversed.wav,,,,,0,15,15,15,5,1.83713698387146,1234,001,2025-11-28_15-21-14,
17,AF02ANS.JPG,SILENCE,no-prime,babble_44.wav,kiste_reversed.wav,væmmes_reversed.wav,,,,,0,16,16,16,4,1.711578130722046,1234,001,2025-11-28_15-21-14,
166,AF22NES.JPG,grimme_compressed.wav,negative,babble_28.wav,lækker_reversed.wav,rabies_reversed.wav,,,,,0,17,17,17,5,2.896350860595703,1234,001,2025-11-28_15-21-14,
71,AF29ANS.JPG,knude_compressed.wav,neutral,babble_89.wav,brænde_reversed.wav,fjendtlig_reversed.wav,,,,,0,18,18,18,4,0.6778669357299805,1234,001,2025-11-28_15-21-14,
83,AM12HAS.JPG,gratis_compressed.wav,positive,babble_3.wav,fremskridt_reversed.wav,vandal_reversed.wav,,,,,0,19,19,19,8,1.0271391868591309,1234,001,2025-11-28_15-21-14,
1,AF06ANS.JPG,SILENCE,no-prime,babble_88.wav,dæmon_reversed.wav,frihed_reversed.wav,,,,,0,20,20,20,3,1.3944580554962158,1234,001,2025-11-28_15-21-14,
168,AM12ANS.JPG,modgang_compressed.wav,negative,babble_54.wav,taber_reversed.wav,kedel_reversed.wav,,,,,0,21,21,21,2,2.7811570167541504,1234,001,2025-11-28_15-21-14,
23,AF34NES.JPG,voldtægt_compressed.wav,negative,babble_83.wav,sejre_reversed.wav,fængsel_reversed.wav,,,,,0,22,22,22,2,1.2806289196014404,1234,001,2025-11-28_15-21-14,
108,AM11ANS.JPG,fjendtlig_compressed.wav,negative,babble_83.wav,spise_reversed.wav,heldig_reversed.wav,,,,,0,23,23,23,4,2.1902518272399902,1234,001,2025-11-28_15-21-14,
193,AF30HAS.JPG,sexet_compressed.wav,positive,babble_71.wav,frygtsom_reversed.wav,hader_reversed.wav,,,,,0,24,24,24,5,1.1781210899353027,1234,001,2025-11-28_15-21-14,
102,AM34ANS.JPG,SILENCE,no-prime,babble_87.wav,ketchup_reversed.wav,offer_reversed.wav,,,,,0,25,25,25,3,5.503730773925781,1234,001,2025-11-28_15-21-14,
18,AF17ANS.JPG,luksus_compressed.wav,positive,babble_15.wav,accept_reversed.wav,fedme_reversed.wav,,,,,0,26,26,26,3,1.1790988445281982,1234,001,2025-11-28_15-21-14,
195,AM32ANS.JPG,feber_compressed.wav,negative,babble_87.wav,putte_reversed.wav,koldbrand_reversed.wav,,,,,0,27,27,27,5,4.429254055023193,1234,001,2025-11-28_15-21-14,
130,AM16NES.JPG,viden_compressed.wav,positive,babble_36.wav,nonne_reversed.wav,jubel_reversed.wav,,,,,0,28,28,28,6,1.503385066986084,1234,001,2025-11-28_15-21-14,
63,AF19ANS.JPG,SILENCE,no-prime,babble_37.wav,opstemt_reversed.wav,nøgle_reversed.wav,,,,,0,29,29,29,5,2.1218810081481934,1234,001,2025-11-28_15-21-14,
25,AF15ANS.JPG,ledning_compressed.wav,neutral,babble_99.wav,slagtning_reversed.wav,ketchup_reversed.wav,,,,,0,30,30,30,6,0.6120269298553467,1234,001,2025-11-28_15-21-14,
169,AM09ANS.JPG,beundret_compressed.wav,positive,babble_10.wav,sandhed_reversed.wav,blodig_reversed.wav,,,,,0,31,31,31,1,0.7916650772094727,1234,001,2025-11-28_15-21-14,
121,AM02ANS.JPG,feber_compressed.wav,negative,babble_54.wav,gaffel_reversed.wav,forfald_reversed.wav,,,,,0,32,32,32,3,16.781626224517822,1234,001,2025-11-28_15-21-14,
181,AM03NES.JPG,SILENCE,no-prime,babble_41.wav,rigdom_reversed.wav,succes_reversed.wav,,,,,0,33,33,33,5,9.897432088851929,1234,001,2025-11-28_15-21-14,
186,AM17HAS.JPG,SILENCE,no-prime,babble_54.wav,bifald_reversed.wav,pjece_reversed.wav,,,,,0,34,34,34,8,2.0084638595581055,1234,001,2025-11-28_15-21-14,
