trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,Participant ID,Session,date,
7,AF30HAS.JPG,udskud_compressed.wav,negative,babble_38.wav,lækker_reversed.wav,kage_reversed.wav,0,0,0,0,0,-1,-1,0,,,8,2.176104700018186,3475,001,2025-12-06_13-26-58,
9,AM24NES.JPG,SILENCE,no-prime,babble_58.wav,ledning_reversed.wav,accept_reversed.wav,0,1,1,1,0,-1,-1,0,,,4,2.064611000008881,3475,001,2025-12-06_13-26-58,
147,AF14NES.JPG,SILENCE,no-prime,babble_63.wav,nedbrud_reversed.wav,søsyg_reversed.wav,0,2,2,2,0,-1,-1,0,,,3,0.3162574000307359,3475,001,2025-12-06_13-26-58,
24,AM07ANS.JPG,intim_compressed.wav,positive,babble_18.wav,accept_reversed.wav,søsyg_reversed.wav,0,3,3,3,0,-1,-1,0,,,1,0.25516220001736656,3475,001,2025-12-06_13-26-58,
67,AF12NES.JPG,dollar_compressed.wav,positive,babble_80.wav,tilfreds_reversed.wav,nonsens_reversed.wav,0,4,4,4,0,-1,-1,0,,,3,0.8090714999707416,3475,001,2025-12-06_13-26-58,
128,AF12HAS.JPG,SILENCE,no-prime,babble_28.wav,tilfreds_reversed.wav,maling_reversed.wav,0,5,5,5,0,-1,-1,0,,,6,1.1480682999826968,3475,001,2025-12-06_13-26-58,
113,AF13NES.JPG,heldig_compressed.wav,positive,babble_16.wav,marked_reversed.wav,hader_reversed.wav,,,,,0,0,0,0,,,4,0.6076278000255115,3475,001,2025-12-06_13-26-58,
70,AF10HAS.JPG,kontor_compressed.wav,neutral,babble_13.wav,kedel_reversed.wav,fjollet_reversed.wav,,,,,0,1,1,1,,,7,3.965114700025879,3475,001,2025-12-06_13-26-58,
17,AF20HAS.JPG,SILENCE,no-prime,babble_27.wav,rigdom_reversed.wav,søsyg_reversed.wav,,,,,0,2,2,2,,,8,0.38084220001474023,3475,001,2025-12-06_13-26-58,
87,AF24ANS.JPG,sollys_compressed.wav,positive,babble_67.wav,koldbrand_reversed.wav,grimme_reversed.wav,,,,,0,3,3,3,,,2,2.389458400022704,3475,001,2025-12-06_13-26-58,
34,AF34ANS.JPG,selvmord_compressed.wav,negative,babble_28.wav,kontor_reversed.wav,selvmord_reversed.wav,,,,,0,4,4,4,,,2,0.9016597999725491,3475,001,2025-12-06_13-26-58,
132,AM23HAS.JPG,forfald_compressed.wav,negative,babble_21.wav,rådden_reversed.wav,museum_reversed.wav,,,,,0,5,5,5,,,8,0.6154444999992847,3475,001,2025-12-06_13-26-58,
191,AM21ANS.JPG,fjollet_compressed.wav,positive,babble_39.wav,forkert_reversed.wav,stjerne_reversed.wav,,,,,0,6,6,6,,,3,1.0469338999828324,3475,001,2025-12-06_13-26-58,
184,AM04ANS.JPG,dæmon_compressed.wav,negative,babble_72.wav,skyldig_reversed.wav,redskab_reversed.wav,,,,,0,7,7,7,,,3,2.3027166999527253,3475,001,2025-12-06_13-26-58,
160,AF25ANS.JPG,affald_compressed.wav,negative,babble_59.wav,fjollet_reversed.wav,passion_reversed.wav,,,,,0,8,8,8,,,1,1.110016299993731,3475,001,2025-12-06_13-26-58,
139,AM11ANS.JPG,lyse_compressed.wav,positive,babble_65.wav,bombe_reversed.wav,metal_reversed.wav,,,,,0,9,9,9,,,1,1.2961535999784246,3475,001,2025-12-06_13-26-58,
101,AM13NES.JPG,SILENCE,no-prime,babble_52.wav,pervers_reversed.wav,kugle_reversed.wav,,,,,0,10,10,10,,,5,1.5421118999947794,3475,001,2025-12-06_13-26-58,
140,AM30ANS.JPG,enhed_compressed.wav,neutral,babble_42.wav,pervers_reversed.wav,ketchup_reversed.wav,,,,,0,11,11,11,,,3,0.6122677000239491,3475,001,2025-12-06_13-26-58,
158,AM06HAS.JPG,sejre_compressed.wav,positive,babble_63.wav,heldig_reversed.wav,grimme_reversed.wav,,,,,0,12,12,12,,,8,1.134784500056412,3475,001,2025-12-06_13-26-58,
27,AM22HAS.JPG,SILENCE,no-prime,babble_16.wav,engel_reversed.wav,fiasko_reversed.wav,,,,,0,13,13,13,,,7,0.3923050999874249,3475,001,2025-12-06_13-26-58,
179,AM03HAS.JPG,frihed_compressed.wav,positive,babble_73.wav,tortur_reversed.wav,oprør_reversed.wav,,,,,0,14,14,14,,,5,2.1491365999681875,3475,001,2025-12-06_13-26-58,
90,AF06ANS.JPG,kugle_compressed.wav,neutral,babble_53.wav,banner_reversed.wav,røver_reversed.wav,,,,,0,15,15,15,,,4,0.9916402999660932,3475,001,2025-12-06_13-26-58,
174,AF11NES.JPG,poesi_compressed.wav,neutral,babble_99.wav,kugle_reversed.wav,sexet_reversed.wav,,,,,0,16,16,16,,,4,0.6521358999889344,3475,001,2025-12-06_13-26-58,
161,AM01ANS.JPG,SILENCE,no-prime,babble_5.wav,skønhed_reversed.wav,illoyal_reversed.wav,,,,,0,17,17,17,,,2,0.6404578000074252,3475,001,2025-12-06_13-26-58,
150,AF03NES.JPG,sexet_compressed.wav,positive,babble_72.wav,heldig_reversed.wav,genstand_reversed.wav,,,,,0,18,18,18,,,5,2.3218373999698088,3475,001,2025-12-06_13-26-58,
38,AM17NES.JPG,bange_compressed.wav,negative,babble_70.wav,bygning_reversed.wav,hjerte_reversed.wav,,,,,0,19,19,19,,,4,0.9158366000046954,3475,001,2025-12-06_13-26-58,
66,AF26NES.JPG,syndig_compressed.wav,negative,babble_49.wav,gidsel_reversed.wav,fængsel_reversed.wav,,,,,0,20,20,20,,,4,1.2144004000001587,3475,001,2025-12-06_13-26-58,
11,AF23NES.JPG,redskab_compressed.wav,neutral,babble_50.wav,venlig_reversed.wav,taber_reversed.wav,,,,,0,21,21,21,,,5,0.69606859999476,3475,001,2025-12-06_13-26-58,
130,AM34HAS.JPG,skade_compressed.wav,negative,babble_65.wav,utro_reversed.wav,tortur_reversed.wav,,,,,0,22,22,22,,,8,0.8339038999984041,3475,001,2025-12-06_13-26-58,
26,AF15NES.JPG,baby_compressed.wav,positive,babble_73.wav,fjendtlig_reversed.wav,ledning_reversed.wav,,,,,0,23,23,23,,,3,0.8663694999995641,3475,001,2025-12-06_13-26-58,
8,AM01HAS.JPG,lækker_compressed.wav,positive,babble_23.wav,maling_reversed.wav,trussel_reversed.wav,,,,,0,24,24,24,,,7,1.8027957000304013,3475,001,2025-12-06_13-26-58,
49,AM30HAS.JPG,genert_compressed.wav,neutral,babble_89.wav,rædsel_reversed.wav,vinde_reversed.wav,,,,,0,25,25,25,,,6,4.637640599976294,3475,001,2025-12-06_13-26-58,
197,AM28NES.JPG,SILENCE,no-prime,babble_61.wav,himlen_reversed.wav,violin_reversed.wav,,,,,0,26,26,26,,,2,1.0291522999759763,3475,001,2025-12-06_13-26-58,
120,AM07HAS.JPG,SILENCE,no-prime,babble_79.wav,misbrug_reversed.wav,fedme_reversed.wav,,,,,0,27,27,27,,,9,0.675992300035432,3475,001,2025-12-06_13-26-58,
134,AF28HAS.JPG,stjerne_compressed.wav,positive,babble_10.wav,grusom_reversed.wav,kiste_reversed.wav,,,,,0,28,28,28,,,8,0.018735199992079288,3475,001,2025-12-06_13-26-58,
77,AF33HAS.JPG,traume_compressed.wav,negative,babble_33.wav,beskidt_reversed.wav,dæmpet_reversed.wav,,,,,0,29,29,29,,,9,0.05516460002399981,3475,001,2025-12-06_13-26-58,
69,AM19ANS.JPG,illoyal_compressed.wav,negative,babble_3.wav,ugle_reversed.wav,flirte_reversed.wav,,,,,0,30,30,30,,,2,0.8491854000021704,3475,001,2025-12-06_13-26-58,
109,AM15ANS.JPG,SILENCE,no-prime,babble_48.wav,latter_reversed.wav,fjollet_reversed.wav,,,,,0,31,31,31,,,1,0.31806260003941134,3475,001,2025-12-06_13-26-58,
54,AM11HAS.JPG,banner_compressed.wav,neutral,babble_91.wav,sikker_reversed.wav,pude_reversed.wav,,,,,0,32,32,32,,,8,0.13021480001043528,3475,001,2025-12-06_13-26-58,
143,AM26ANS.JPG,fængsel_compressed.wav,negative,babble_39.wav,genstand_reversed.wav,syndig_reversed.wav,,,,,0,33,33,33,,,3,0.7436550999991596,3475,001,2025-12-06_13-26-58,
170,AF05HAS.JPG,passion_compressed.wav,positive,babble_43.wav,enhed_reversed.wav,giftig_reversed.wav,,,,,0,34,34,34,,,7,2.1476202000048943,3475,001,2025-12-06_13-26-58,
192,AF06HAS.JPG,viden_compressed.wav,positive,babble_1.wav,opstemt_reversed.wav,vinde_reversed.wav,,,,,0,35,35,35,,,6,1.404311400023289,3475,001,2025-12-06_13-26-58,
157,AM14HAS.JPG,mester_compressed.wav,positive,babble_38.wav,ledning_reversed.wav,mester_reversed.wav,,,,,0,36,36,36,,,6,0.7276988999801688,3475,001,2025-12-06_13-26-58,
76,AM16HAS.JPG,respekt_compressed.wav,positive,babble_42.wav,talent_reversed.wav,vandal_reversed.wav,,,,,0,37,37,37,,,9,1.4357410999946296,3475,001,2025-12-06_13-26-58,
190,AF16NES.JPG,forkert_compressed.wav,negative,babble_53.wav,salat_reversed.wav,putte_reversed.wav,,,,,0,38,38,38,,,2,2.5795079999952577,3475,001,2025-12-06_13-26-58,
135,AF19HAS.JPG,glæde_compressed.wav,positive,babble_63.wav,gratis_reversed.wav,skammel_reversed.wav,,,,,0,39,39,39,,,8,1.246764199982863,3475,001,2025-12-06_13-26-58,
39,AF20ANS.JPG,modgang_compressed.wav,negative,babble_9.wav,latter_reversed.wav,utro_reversed.wav,,,,,0,40,40,40,,,2,0.7118463999941014,3475,001,2025-12-06_13-26-58,
45,AM23NES.JPG,statue_compressed.wav,neutral,babble_1.wav,giftig_reversed.wav,leder_reversed.wav,,,,,0,41,41,41,,,4,1.6549096999806352,3475,001,2025-12-06_13-26-58,
59,AF28ANS.JPG,borddug_compressed.wav,neutral,babble_14.wav,redskab_reversed.wav,bygning_reversed.wav,,,,,0,42,42,42,,,1,0.6919923999812454,3475,001,2025-12-06_13-26-58,
83,AF01ANS.JPG,afvist_compressed.wav,negative,babble_46.wav,enhed_reversed.wav,nonsens_reversed.wav,,,,,0,43,43,43,,,3,2.2131536999950185,3475,001,2025-12-06_13-26-58,
3,AM18NES.JPG,illoyal_compressed.wav,negative,babble_70.wav,salat_reversed.wav,forfald_reversed.wav,,,,,0,44,44,44,,,5,1.0518398999702185,3475,001,2025-12-06_13-26-58,
