trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,Participant ID,Session,date,
8,AF06NES.JPG,hjerte_compressed.wav,positive,bab5.wav,fiasko_reversed.wav,fjendtlig_reversed.wav,0,0,0,0,0,-1,-1,0,,,3,5.324092834023759,david,001,2025-11-11_19-09-53,
4,AF31HAS.JPG,feber_compressed.wav,negative,bab9.wav,gidsel_reversed.wav,heldig_reversed.wav,0,1,1,1,0,-1,-1,0,,,6,1.9751140419975854,david,001,2025-11-11_19-09-53,
2,AF10ANS.JPG,taber_compressed.wav,negative,bab8.wav,beskidt_reversed.wav,fjendtlig_reversed.wav,,,,,0,0,0,0,,,2,0.40794137501507066,david,001,2025-11-11_19-09-53,
6,AF30ANS.JPG,sexet_compressed.wav,positive,bab2.wav,ferie_reversed.wav,intim_reversed.wav,,,,,0,1,1,1,,,3,0.9094722499721684,david,001,2025-11-11_19-09-53,
3,AF05ANS.JPG,SILENCE,no-prime,bab6.wav,dæmpet_reversed.wav,feber_reversed.wav,,,,,0,2,2,2,,,2,1.6336298749956768,david,001,2025-11-11_19-09-53,
5,AM25HAS.JPG,SILENCE,no-prime,bab7.wav,ære_reversed.wav,forkert_reversed.wav,,,,,0,3,3,3,,,7,0.2699985000072047,david,001,2025-11-11_19-09-53,
1,AF07NES.JPG,festlig_compressed.wav,positive,bab2.wav,blomstre_reversed.wav,diamant_reversed.wav,,,,,0,4,4,4,,,4,0.711041041999124,david,001,2025-11-11_19-09-53,
9,AF20HAS.JPG,statue_compressed.wav,neutral,bab9.wav,kæle_reversed.wav,beskidt_reversed.wav,,,,,0,5,5,5,,,6,1.436675250006374,david,001,2025-11-11_19-09-53,
10,AF11ANS.JPG,utro_compressed.wav,negative,bab9.wav,boble_reversed.wav,fængsel_reversed.wav,,,,,0,6,6,6,,,2,1.6398383330088109,david,001,2025-11-11_19-09-53,
7,AF08ANS.JPG,papir_compressed.wav,neutral,bab9.wav,beskidt_reversed.wav,himmel_reversed.wav,,,,,0,7,7,7,,,3,1.3472245419980027,david,001,2025-11-11_19-09-53,
