trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,Participant ID,Session,date,
31,AF11NES.JPG,kvæles_compressed.wav,negative,babble_26.wav,spise_reversed.wav,luksus_reversed.wav,0,0,0,0,0,-1,-1,0,,,3,2.9321010829953593,delete5,001,2025-11-23_22-27-28,
63,AF20NES.JPG,ørken_compressed.wav,negative,babble_29.wav,hage_reversed.wav,bygning_reversed.wav,0,1,1,1,0,-1,-1,0,,,8,0.11686045800161082,delete5,001,2025-11-23_22-27-28,
86,AM07HAS.JPG,hjerte_compressed.wav,positive,babble_84.wav,ledning_reversed.wav,konge_reversed.wav,0,2,2,2,0,-1,-1,0,,,1,0.7606807499978459,delete5,001,2025-11-23_22-27-28,
61,AF31NES.JPG,tortur_compressed.wav,negative,babble_44.wav,trussel_reversed.wav,leder_reversed.wav,0,3,3,3,0,-1,-1,0,,,2,0.9287148750008782,delete5,001,2025-11-23_22-27-28,
166,AF12NES.JPG,måned_compressed.wav,neutral,babble_24.wav,boble_reversed.wav,venlig_reversed.wav,0,4,4,4,0,-1,-1,0,,,8,0.5728201659949264,delete5,001,2025-11-23_22-27-28,
124,AF10ANS.JPG,varme_compressed.wav,positive,babble_99.wav,latter_reversed.wav,sikker_reversed.wav,0,5,5,5,0,-1,-1,0,,,2,0.42000954099785304,delete5,001,2025-11-23_22-27-28,
75,AM30HAS.JPG,respekt_compressed.wav,positive,babble_9.wav,kujon_reversed.wav,forkert_reversed.wav,,,,,0,0,0,0,,,2,0.2596430000048713,delete5,001,2025-11-23_22-27-28,
185,AM34NES.JPG,SILENCE,no-prime,babble_14.wav,ugle_reversed.wav,fase_reversed.wav,,,,,0,1,1,1,,,2,2.072247000003699,delete5,001,2025-11-23_22-27-28,
122,AM23ANS.JPG,SILENCE,no-prime,babble_7.wav,grimme_reversed.wav,mester_reversed.wav,,,,,0,2,2,2,,,7,1.0076700409990735,delete5,001,2025-11-23_22-27-28,
69,AF20HAS.JPG,dæmon_compressed.wav,negative,babble_95.wav,knude_reversed.wav,gidsel_reversed.wav,,,,,0,3,3,3,,,6,0.393140250002034,delete5,001,2025-11-23_22-27-28,
179,AM06ANS.JPG,latter_compressed.wav,positive,babble_90.wav,ørken_reversed.wav,albue_reversed.wav,,,,,0,4,4,4,,,1,0.23621070799708832,delete5,001,2025-11-23_22-27-28,
142,AM14ANS.JPG,offer_compressed.wav,negative,babble_39.wav,tumor_reversed.wav,konge_reversed.wav,,,,,0,5,5,5,,,2,0.4496957500014105,delete5,001,2025-11-23_22-27-28,
116,AF07HAS.JPG,oprør_compressed.wav,negative,babble_28.wav,røver_reversed.wav,sæde_reversed.wav,,,,,0,6,6,6,,,9,0.25511779200314777,delete5,001,2025-11-23_22-27-28,
71,AF32HAS.JPG,musik_compressed.wav,positive,babble_56.wav,albue_reversed.wav,cirkel_reversed.wav,,,,,0,7,7,7,,,8,0.43016075000195997,delete5,001,2025-11-23_22-27-28,
77,AM12ANS.JPG,frygtsom_compressed.wav,negative,babble_14.wav,rigdom_reversed.wav,utro_reversed.wav,,,,,0,8,8,8,,,5,0.15148149999731686,delete5,001,2025-11-23_22-27-28,
189,AF14HAS.JPG,frygtsom_compressed.wav,negative,babble_60.wav,nøgle_reversed.wav,måned_reversed.wav,,,,,0,9,9,9,,,4,0.39811337499850197,delete5,001,2025-11-23_22-27-28,
35,AF13NES.JPG,sygdom_compressed.wav,negative,babble_50.wav,sollys_reversed.wav,skyldig_reversed.wav,,,,,0,10,10,10,,,1,0.25707949999923585,delete5,001,2025-11-23_22-27-28,
121,AF29HAS.JPG,ankel_compressed.wav,neutral,babble_6.wav,knude_reversed.wav,redning_reversed.wav,,,,,0,11,11,11,,,6,0.20459008300531423,delete5,001,2025-11-23_22-27-28,
93,AM02NES.JPG,grusom_compressed.wav,negative,babble_85.wav,succes_reversed.wav,ankel_reversed.wav,,,,,0,12,12,12,,,4,0.11739683400082868,delete5,001,2025-11-23_22-27-28,
194,AF30ANS.JPG,SILENCE,no-prime,babble_30.wav,brænde_reversed.wav,skammel_reversed.wav,,,,,0,13,13,13,,,1,0.31646687500324333,delete5,001,2025-11-23_22-27-28,
111,AM20NES.JPG,offer_compressed.wav,negative,babble_4.wav,grimme_reversed.wav,opstemt_reversed.wav,,,,,0,14,14,14,,,3,0.5127142499986803,delete5,001,2025-11-23_22-27-28,
167,AF33HAS.JPG,SILENCE,no-prime,babble_42.wav,avis_reversed.wav,kærtegn_reversed.wav,,,,,0,15,15,15,,,8,0.2564766249997774,delete5,001,2025-11-23_22-27-28,
127,AM05NES.JPG,SILENCE,no-prime,babble_13.wav,fiasko_reversed.wav,brænde_reversed.wav,,,,,0,16,16,16,,,2,0.9410727499998757,delete5,001,2025-11-23_22-27-28,
114,AF23NES.JPG,cirkel_compressed.wav,neutral,babble_20.wav,skønhed_reversed.wav,dollar_reversed.wav,,,,,0,17,17,17,,,9,0.5232354170002509,delete5,001,2025-11-23_22-27-28,
181,AM20HAS.JPG,himlen_compressed.wav,positive,babble_43.wav,fængsel_reversed.wav,diamant_reversed.wav,,,,,0,18,18,18,,,2,0.1820702090044506,delete5,001,2025-11-23_22-27-28,
70,AM31HAS.JPG,fiasko_compressed.wav,negative,babble_84.wav,trussel_reversed.wav,ledning_reversed.wav,,,,,0,19,19,19,,,6,0.3889807499945164,delete5,001,2025-11-23_22-27-28,
84,AM13NES.JPG,kæle_compressed.wav,positive,babble_55.wav,heldig_reversed.wav,natur_reversed.wav,,,,,0,20,20,20,,,4,0.5111764159955783,delete5,001,2025-11-23_22-27-28,
49,AM01ANS.JPG,dollar_compressed.wav,positive,babble_66.wav,fjendtlig_reversed.wav,nedbrud_reversed.wav,,,,,0,21,21,21,,,2,0.23419183299847646,delete5,001,2025-11-23_22-27-28,
27,AF02NES.JPG,blomstre_compressed.wav,positive,babble_87.wav,gidsel_reversed.wav,tortur_reversed.wav,,,,,0,22,22,22,,,1,0.5100898750024498,delete5,001,2025-11-23_22-27-28,
196,AM01HAS.JPG,feber_compressed.wav,negative,babble_97.wav,regnbue_reversed.wav,selvmord_reversed.wav,,,,,0,23,23,23,,,8,0.28895966699928977,delete5,001,2025-11-23_22-27-28,
,,,,,,,,,,,,,,,,,escape,0.4988552909999271,,,,
