trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,Participant ID,Session,date,
8,AM03NES.JPG,luder_compressed.wav,negative,bab6.wav,gratis_reversed.wav,ferie_reversed.wav,0,0,0,0,0,-1,-1,0,,,4,0.30451000000175554,khsdb,001,2025-11-10_12-54-58,
5,AF14ANS.JPG,fængsel_compressed.wav,negative,bab3.wav,forfald_reversed.wav,gidsel_reversed.wav,0,1,1,1,0,-1,-1,0,,,4,0.4384332909976365,khsdb,001,2025-11-10_12-54-58,
1,AF10ANS.JPG,kande_compressed.wav,neutral,bab1.wav,accept_reversed.wav,fjendtlig_reversed.wav,,,,,0,0,0,0,,,4,0.5461360839981353,khsdb,001,2025-11-10_12-54-58,
2,AF07HAS.JPG,misbrug_compressed.wav,negative,bab7.wav,bombe_reversed.wav,frihed_reversed.wav,,,,,0,1,1,1,,,4,0.6835114580026129,khsdb,001,2025-11-10_12-54-58,
6,AM02NES.JPG,gade_compressed.wav,neutral,bab3.wav,fjendtlig_reversed.wav,albue_reversed.wav,,,,,0,2,2,2,,,4,0.41984366699762177,khsdb,001,2025-11-10_12-54-58,
9,AF23HAS.JPG,SILENCE,no-prime,bab3.wav,kedel_reversed.wav,dæmon_reversed.wav,,,,,0,3,3,3,,,4,0.5098145000083605,khsdb,001,2025-11-10_12-54-58,
10,AM24NES.JPG,SILENCE,no-prime,bab2.wav,dæmon_reversed.wav,kæle_reversed.wav,,,,,0,4,4,4,,,4,0.5436314169928664,khsdb,001,2025-11-10_12-54-58,
7,AF16HAS.JPG,venlig_compressed.wav,positive,bab9.wav,afskyr_reversed.wav,genstand_reversed.wav,,,,,0,5,5,5,,,4,0.4786017080041347,khsdb,001,2025-11-10_12-54-58,
4,AM13NES.JPG,heldig_compressed.wav,positive,bab2.wav,kande_reversed.wav,gaffel_reversed.wav,,,,,0,6,6,6,,,4,6.2648726250045,khsdb,001,2025-11-10_12-54-58,
3,AF07ANS.JPG,festlig_compressed.wav,positive,bab7.wav,brutal_reversed.wav,fiasko_reversed.wav,,,,,0,7,7,7,,,4,1.3996456659951946,khsdb,001,2025-11-10_12-54-58,
