trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,Participant ID,Session,date,
8,AM24HAS.JPG,hage_compressed.wav,neutral,bab4.wav,gidsel_reversed.wav,himlen_reversed.wav,0,0,0,0,0,-1,-1,0,,,6,1.4725719160051085,ncj,001,2025-11-10_23-16-13,
1,AM05NES.JPG,krise_compressed.wav,negative,bab2.wav,genstand_reversed.wav,brænde_reversed.wav,0,1,1,1,0,-1,-1,0,,,2,1.4876254159898963,ncj,001,2025-11-10_23-16-13,
6,AM07NES.JPG,SILENCE,no-prime,bab9.wav,djævel_reversed.wav,ferie_reversed.wav,,,,,0,0,0,0,,,6,1.787743666995084,ncj,001,2025-11-10_23-16-13,
3,AF13HAS.JPG,hader_compressed.wav,negative,bab6.wav,cirkel_reversed.wav,djævel_reversed.wav,,,,,0,1,1,1,,,7,1.3330889999924693,ncj,001,2025-11-10_23-16-13,
7,AF33HAS.JPG,lækker_compressed.wav,positive,bab7.wav,kærtegn_reversed.wav,dollar_reversed.wav,,,,,0,2,2,2,,,1,2.0433174159843475,ncj,001,2025-11-10_23-16-13,
9,AM20NES.JPG,giftig_compressed.wav,negative,bab7.wav,forkert_reversed.wav,ærlig_reversed.wav,,,,,0,3,3,3,,,6,1.3723497089813463,ncj,001,2025-11-10_23-16-13,
10,AF22NES.JPG,bryllup_compressed.wav,positive,bab9.wav,baby_reversed.wav,blodig_reversed.wav,,,,,0,4,4,4,,,3,0.47473345798789524,ncj,001,2025-11-10_23-16-13,
5,AF03HAS.JPG,jubel_compressed.wav,positive,bab3.wav,ære_reversed.wav,fase_reversed.wav,,,,,0,5,5,5,,,2,0.5884000829828437,ncj,001,2025-11-10_23-16-13,
2,AM32HAS.JPG,SILENCE,no-prime,bab9.wav,ærlig_reversed.wav,cirkus_reversed.wav,,,,,0,6,6,6,,,5,0.4736425830051303,ncj,001,2025-11-10_23-16-13,
4,AM19NES.JPG,kedel_compressed.wav,neutral,bab5.wav,forår_reversed.wav,fængsel_reversed.wav,,,,,0,7,7,7,,,1,0.32115220799460076,ncj,001,2025-11-10_23-16-13,
