trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,Participant ID,Session,date,
6,AF14HAS.JPG,nonsens_compressed.wav,neutral,bab5.wav,genert_reversed.wav,ære_reversed.wav,0,0,0,0,0,-1,-1,0,,,2,0.4581949999992503,syfbhdsfv,001,2025-11-10_12-58-08,
2,AF11NES.JPG,pervers_compressed.wav,negative,bab8.wav,banner_reversed.wav,dæmon_reversed.wav,0,1,1,1,0,-1,-1,0,,,3,5.406050542005687,syfbhdsfv,001,2025-11-10_12-58-08,
1,AF17NES.JPG,SILENCE,no-prime,bab7.wav,albue_reversed.wav,engel_reversed.wav,,,,,0,0,0,0,,,3,0.6303547919960693,syfbhdsfv,001,2025-11-10_12-58-08,
10,AF25NES.JPG,SILENCE,no-prime,bab9.wav,bygning_reversed.wav,banner_reversed.wav,,,,,0,1,1,1,,,2,0.40156695900077466,syfbhdsfv,001,2025-11-10_12-58-08,
8,AM26NES.JPG,latter_compressed.wav,positive,bab4.wav,ærlig_reversed.wav,gidsel_reversed.wav,,,,,0,2,2,2,,,3,1.4612874159938656,syfbhdsfv,001,2025-11-10_12-58-08,
9,AF34NES.JPG,venlig_compressed.wav,positive,bab3.wav,fremskridt_reversed.wav,heldig_reversed.wav,,,,,0,3,3,3,,,4,0.5701124580082251,syfbhdsfv,001,2025-11-10_12-58-08,
3,AF29HAS.JPG,lækker_compressed.wav,positive,bab7.wav,bryllup_reversed.wav,brutal_reversed.wav,,,,,0,4,4,4,,,1,0.37171737500466406,syfbhdsfv,001,2025-11-10_12-58-08,
4,AF24NES.JPG,grimme_compressed.wav,negative,bab9.wav,banner_reversed.wav,ærlig_reversed.wav,,,,,0,5,5,5,,,5,5.28576670899929,syfbhdsfv,001,2025-11-10_12-58-08,
5,AF27ANS.JPG,traume_compressed.wav,negative,bab9.wav,brænde_reversed.wav,intim_reversed.wav,,,,,0,6,6,6,,,1,0.39205716700234916,syfbhdsfv,001,2025-11-10_12-58-08,
7,AM25ANS.JPG,avis_compressed.wav,neutral,bab2.wav,gave_reversed.wav,accept_reversed.wav,,,,,0,7,7,7,,,3,0.4510142920044018,syfbhdsfv,001,2025-11-10_12-58-08,
