trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,Participant ID,Session,date,
5,AF23ANS.JPG,fedme_compressed.wav,negative,bab4.wav,bryllup_reversed.wav,heldig_reversed.wav,0,0,0,0,0,-1,-1,0,,,2,4.856768292011111,vikor,001,2025-11-10_12-29-30,
4,AF12HAS.JPG,sindssyg_compressed.wav,negative,bab2.wav,genstand_reversed.wav,fase_reversed.wav,0,1,1,1,0,-1,-1,0,,,6,4.717477832993609,vikor,001,2025-11-10_12-29-30,
1,AM25NES.JPG,tumor_compressed.wav,negative,bab2.wav,dollar_reversed.wav,drukne_reversed.wav,,,,,0,0,0,0,,,4,4.5735887920018286,vikor,001,2025-11-10_12-29-30,
7,AM08ANS.JPG,konge_compressed.wav,positive,bab8.wav,kærtegn_reversed.wav,ensom_reversed.wav,,,,,0,1,1,1,,,2,3.127976749994559,vikor,001,2025-11-10_12-29-30,
6,AF06HAS.JPG,SILENCE,no-prime,bab9.wav,gade_reversed.wav,hage_reversed.wav,,,,,0,2,2,2,,,6,2.6390010000031907,vikor,001,2025-11-10_12-29-30,
10,AF19ANS.JPG,hårnål_compressed.wav,neutral,bab1.wav,ærlig_reversed.wav,fase_reversed.wav,,,,,0,3,3,3,,,2,1.5593942080013221,vikor,001,2025-11-10_12-29-30,
8,AM23HAS.JPG,beundret_compressed.wav,positive,bab1.wav,borddug_reversed.wav,affald_reversed.wav,,,,,0,4,4,4,,,7,2.474759457996697,vikor,001,2025-11-10_12-29-30,
9,AF09ANS.JPG,museum_compressed.wav,neutral,bab6.wav,blodig_reversed.wav,brutal_reversed.wav,,,,,0,5,5,5,,,1,1.6814320830017095,vikor,001,2025-11-10_12-29-30,
3,AM21NES.JPG,SILENCE,no-prime,bab1.wav,ærlig_reversed.wav,kærtegn_reversed.wav,,,,,0,6,6,6,,,3,1.7708500000007916,vikor,001,2025-11-10_12-29-30,
2,AF15NES.JPG,sexet_compressed.wav,positive,bab8.wav,affald_reversed.wav,bange_reversed.wav,,,,,0,7,7,7,,,5,3.1296576669992646,vikor,001,2025-11-10_12-29-30,
