trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
19,bange_compressed.wav,negative,bange,venlig,babble_0.wav,albue_reversed.wav,trofæ_reversed.wav,0,0,0,0,0,-1,-1,0,,,left,1.397787400001107,left,1,bange,venlig,1738,001,2025-11-27_14-18-26,
3,brænde_compressed.wav,negative,brænde,engel,babble_79.wav,patent_reversed.wav,giftig_reversed.wav,0,1,1,1,0,-1,-1,0,,,left,1.5759288000008382,left,1,brænde,engel,1738,001,2025-11-27_14-18-26,
48,natur_compressed.wav,positive,natur,banner,babble_93.wav,djævel_reversed.wav,baby_reversed.wav,0,2,2,2,0,-1,-1,0,,,left,0.9223834999993414,left,1,natur,banner,1738,001,2025-11-27_14-18-26,
46,forår_compressed.wav,positive,forår,sexet,babble_15.wav,forkert_reversed.wav,dæmpet_reversed.wav,0,3,3,3,0,-1,-1,0,,,left,0.4605913999985205,left,1,forår,sexet,1738,001,2025-11-27_14-18-26,
5,voldsom_compressed.wav,negative,voldsom,selvmord,babble_96.wav,grimme_reversed.wav,succes_reversed.wav,0,4,4,4,0,-1,-1,0,,,left,0.30584970000018075,left,1,voldsom,selvmord,1738,001,2025-11-27_14-18-26,
54,lyse_compressed.wav,positive,lyse,viden,babble_57.wav,statue_reversed.wav,luksus_reversed.wav,,,,,0,0,0,0,,,right,0.5800180999995064,right,1,viden,lyse,1738,001,2025-11-27_14-18-26,
8,bygning_compressed.wav,neutral,bygning,ketchup,babble_29.wav,skammel_reversed.wav,nonne_reversed.wav,,,,,0,1,1,1,,,left,1.1847622000004776,left,1,bygning,ketchup,1738,001,2025-11-27_14-18-26,
70,misbrug_compressed.wav,negative,misbrug,søsyg,babble_82.wav,kage_reversed.wav,papir_reversed.wav,,,,,0,2,2,2,,,right,1.113008300000729,right,1,søsyg,misbrug,1738,001,2025-11-27_14-18-26,
41,museum_compressed.wav,neutral,museum,tønde,babble_21.wav,glæde_reversed.wav,pude_reversed.wav,,,,,0,3,3,3,,,right,0.43338740000035614,right,1,tønde,museum,1738,001,2025-11-27_14-18-26,
52,bange_compressed.wav,negative,bange,salat,babble_87.wav,ankel_reversed.wav,dæmon_reversed.wav,,,,,0,4,4,4,,,right,0.46541890000116837,right,1,salat,bange,1738,001,2025-11-27_14-18-26,
