trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
65,engel_compressed.wav,positive,engel,spænding,babble_93.wav,cirkel_reversed.wav,genstand_reversed.wav,0,0,0,0,0,-1,-1,0,left,1.949666976928711,right,0,spænding,engel,5567,001,2025-11-28_14-28-04,
7,putte_compressed.wav,positive,putte,marked,babble_89.wav,sejre_reversed.wav,ledning_reversed.wav,0,1,1,1,0,-1,-1,0,left,4.287108898162842,right,0,marked,putte,5567,001,2025-11-28_14-28-04,
81,taber_compressed.wav,negative,taber,væmmes,babble_28.wav,cirkel_reversed.wav,passion_reversed.wav,0,2,2,2,0,-1,-1,0,left,1.5543899536132812,left,1,taber,væmmes,5567,001,2025-11-28_14-28-04,
19,poesi_compressed.wav,neutral,poesi,motor,babble_3.wav,mester_reversed.wav,pude_reversed.wav,0,3,3,3,0,-1,-1,0,left,3.317033052444458,left,1,poesi,motor,5567,001,2025-11-28_14-28-04,
69,måned_compressed.wav,neutral,måned,metal,babble_12.wav,tilfreds_reversed.wav,heldig_reversed.wav,0,4,4,4,0,-1,-1,0,left,1.345216989517212,left,1,måned,metal,5567,001,2025-11-28_14-28-04,
17,salat_compressed.wav,neutral,salat,vinde,babble_34.wav,magisk_reversed.wav,avis_reversed.wav,,,,,0,0,0,0,right,0.6279850006103516,right,1,vinde,salat,5567,001,2025-11-28_14-28-04,
85,museum_compressed.wav,neutral,museum,tortur,babble_30.wav,kedel_reversed.wav,banner_reversed.wav,,,,,0,1,1,1,left,0.5564799308776855,left,1,museum,tortur,5567,001,2025-11-28_14-28-04,
48,kæle_compressed.wav,positive,kæle,diamant,babble_47.wav,djævel_reversed.wav,boble_reversed.wav,,,,,0,2,2,2,left,1.1410789489746094,left,1,kæle,diamant,5567,001,2025-11-28_14-28-04,
41,knude_compressed.wav,neutral,knude,bygning,babble_49.wav,kedel_reversed.wav,utro_reversed.wav,,,,,0,3,3,3,left,1.273705005645752,left,1,knude,bygning,5567,001,2025-11-28_14-28-04,
56,fængsel_compressed.wav,negative,fængsel,penge,babble_65.wav,brutal_reversed.wav,opstemt_reversed.wav,,,,,0,4,4,4,right,1.5684750080108643,right,1,penge,fængsel,5567,001,2025-11-28_14-28-04,
15,konkurs_compressed.wav,negative,konkurs,enhed,babble_40.wav,genstand_reversed.wav,bygning_reversed.wav,,,,,0,5,5,5,left,2.788300037384033,left,1,konkurs,enhed,5567,001,2025-11-28_14-28-04,
10,mave_compressed.wav,neutral,mave,kande,babble_33.wav,modgang_reversed.wav,grimme_reversed.wav,,,,,0,6,6,6,left,1.797044038772583,right,0,kande,mave,5567,001,2025-11-28_14-28-04,
11,flirte_compressed.wav,positive,flirte,ønske,babble_3.wav,pervers_reversed.wav,leder_reversed.wav,,,,,0,7,7,7,left,1.186884880065918,left,1,flirte,ønske,5567,001,2025-11-28_14-28-04,
29,natur_compressed.wav,positive,natur,sikker,babble_89.wav,varme_reversed.wav,nøgle_reversed.wav,,,,,0,8,8,8,right,0.5114660263061523,right,1,sikker,natur,5567,001,2025-11-28_14-28-04,
80,kande_compressed.wav,neutral,kande,dollar,babble_46.wav,voldtægt_reversed.wav,kage_reversed.wav,,,,,0,9,9,9,left,0.9272329807281494,left,1,kande,dollar,5567,001,2025-11-28_14-28-04,
31,blodig_compressed.wav,negative,blodig,putte,babble_61.wav,marked_reversed.wav,hånlig_reversed.wav,,,,,0,10,10,10,right,1.3949799537658691,right,1,putte,blodig,5567,001,2025-11-28_14-28-04,
18,misbrug_compressed.wav,negative,misbrug,illoyal,babble_87.wav,fremskridt_reversed.wav,engel_reversed.wav,,,,,0,11,11,11,right,0.5238900184631348,right,1,illoyal,misbrug,5567,001,2025-11-28_14-28-04,
37,voldtægt_compressed.wav,negative,voldtægt,fjollet,babble_52.wav,avis_reversed.wav,viden_reversed.wav,,,,,0,12,12,12,right,0.5634720325469971,right,1,fjollet,voldtægt,5567,001,2025-11-28_14-28-04,
32,lyse_compressed.wav,positive,lyse,forår,babble_89.wav,fase_reversed.wav,grusom_reversed.wav,,,,,0,13,13,13,right,1.5994138717651367,right,1,forår,lyse,5567,001,2025-11-28_14-28-04,
3,festlig_compressed.wav,positive,festlig,spise,babble_70.wav,illoyal_reversed.wav,giftig_reversed.wav,,,,,0,14,14,14,left,1.67979097366333,right,0,spise,festlig,5567,001,2025-11-28_14-28-04,
12,bombe_compressed.wav,negative,bombe,hårnål,babble_76.wav,vandal_reversed.wav,modgang_reversed.wav,,,,,0,15,15,15,right,0.44986605644226074,right,1,hårnål,bombe,5567,001,2025-11-28_14-28-04,
47,smerte_compressed.wav,negative,smerte,oprørt,babble_86.wav,kæle_reversed.wav,ferie_reversed.wav,,,,,0,16,16,16,right,0.46947407722473145,right,1,oprørt,smerte,5567,001,2025-11-28_14-28-04,
90,vindue_compressed.wav,neutral,vindue,pude,babble_23.wav,konge_reversed.wav,talent_reversed.wav,,,,,0,17,17,17,left,0.9943540096282959,left,1,vindue,pude,5567,001,2025-11-28_14-28-04,
35,voldsom_compressed.wav,negative,voldsom,ydmyg,babble_69.wav,plakat_reversed.wav,respekt_reversed.wav,,,,,0,18,18,18,left,0.6385948657989502,left,1,voldsom,ydmyg,5567,001,2025-11-28_14-28-04,
6,lækker_compressed.wav,positive,lækker,nonne,babble_25.wav,latter_reversed.wav,ankel_reversed.wav,,,,,0,19,19,19,left,2.376016139984131,left,1,lækker,nonne,5567,001,2025-11-28_14-28-04,
88,ønske_compressed.wav,positive,ønske,dæmpet,babble_11.wav,modgang_reversed.wav,violin_reversed.wav,,,,,0,20,20,20,left,0.6698691844940186,left,1,ønske,dæmpet,5567,001,2025-11-28_14-28-04,
45,forår_compressed.wav,positive,forår,gidsel,babble_62.wav,modgang_reversed.wav,ørken_reversed.wav,,,,,0,21,21,21,left,0.6199100017547607,left,1,forår,gidsel,5567,001,2025-11-28_14-28-04,
68,hjerte_compressed.wav,positive,hjerte,fremskridt,babble_35.wav,statue_reversed.wav,lampe_reversed.wav,,,,,0,22,22,22,left,1.221649169921875,left,1,hjerte,fremskridt,5567,001,2025-11-28_14-28-04,
42,festlig_compressed.wav,positive,festlig,rotte,babble_52.wav,sikker_reversed.wav,utro_reversed.wav,,,,,0,23,23,23,right,1.2530560493469238,right,1,rotte,festlig,5567,001,2025-11-28_14-28-04,
59,varme_compressed.wav,positive,varme,festlig,babble_24.wav,kiste_reversed.wav,ørken_reversed.wav,,,,,0,24,24,24,left,0.7614290714263916,left,1,varme,festlig,5567,001,2025-11-28_14-28-04,
75,frihed_compressed.wav,positive,frihed,tortur,babble_34.wav,dæmpet_reversed.wav,konkurs_reversed.wav,,,,,0,25,25,25,left,1.303786039352417,left,1,frihed,tortur,5567,001,2025-11-28_14-28-04,
89,violin_compressed.wav,neutral,violin,ensom,babble_45.wav,skyldig_reversed.wav,putte_reversed.wav,,,,,0,26,26,26,right,0.5157020092010498,right,1,ensom,violin,5567,001,2025-11-28_14-28-04,
53,redskab_compressed.wav,neutral,redskab,taber,babble_63.wav,genert_reversed.wav,utro_reversed.wav,,,,,0,27,27,27,left,1.768202781677246,left,1,redskab,taber,5567,001,2025-11-28_14-28-04,
4,smerte_compressed.wav,negative,smerte,glæde,babble_80.wav,kage_reversed.wav,tilfreds_reversed.wav,,,,,0,28,28,28,right,0.3450489044189453,right,1,glæde,smerte,5567,001,2025-11-28_14-28-04,
21,måned_compressed.wav,neutral,måned,slagtning,babble_30.wav,ketchup_reversed.wav,måned_reversed.wav,,,,,0,29,29,29,left,0.5892140865325928,left,1,måned,slagtning,5567,001,2025-11-28_14-28-04,
40,maling_compressed.wav,neutral,maling,slagtning,babble_1.wav,ørken_reversed.wav,gratis_reversed.wav,,,,,0,30,30,30,left,0.6763110160827637,left,1,maling,slagtning,5567,001,2025-11-28_14-28-04,
