trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
74,stjerne_compressed.wav,positive,stjerne,cirkus,babble_62.wav,giftig_reversed.wav,affald_reversed.wav,0,0,0,0,0,-1,-1,0,,,right,2.0304824999984703,right,1,cirkus,stjerne,delete_later,001,2025-11-23_22-11-50,
11,sejre_compressed.wav,positive,sejre,kontor,babble_44.wav,bange_reversed.wav,kande_reversed.wav,0,1,1,1,0,-1,-1,0,,,left,1.4118159580029896,right,0,kontor,sejre,delete_later,001,2025-11-23_22-11-50,
72,humor_compressed.wav,positive,humor,sikker,babble_61.wav,knude_reversed.wav,hånlig_reversed.wav,0,2,2,2,0,-1,-1,0,,,right,0.7018147920025513,right,1,sikker,humor,delete_later,001,2025-11-23_22-11-50,
17,oprørt_compressed.wav,negative,oprørt,stjerne,babble_10.wav,slagtning_reversed.wav,opstemt_reversed.wav,0,3,3,3,0,-1,-1,0,,,right,1.4580074999976205,left,0,oprørt,stjerne,delete_later,001,2025-11-23_22-11-50,
13,feber_compressed.wav,negative,feber,baby,babble_69.wav,grusom_reversed.wav,putte_reversed.wav,0,4,4,4,0,-1,-1,0,,,right,0.673805040998559,right,1,baby,feber,delete_later,001,2025-11-23_22-11-50,
28,opstemt_compressed.wav,positive,opstemt,mester,babble_55.wav,sæde_reversed.wav,lærer_reversed.wav,,,,,0,0,0,0,,,right,1.396081958002469,left,0,opstemt,mester,delete_later,001,2025-11-23_22-11-50,
92,vinde_compressed.wav,positive,vinde,accept,babble_24.wav,kujon_reversed.wav,festlig_reversed.wav,,,,,0,1,1,1,,,left,0.8085685839978396,left,1,vinde,accept,delete_later,001,2025-11-23_22-11-50,
39,pjece_compressed.wav,neutral,pjece,festlig,babble_53.wav,frygtsom_reversed.wav,gade_reversed.wav,,,,,0,2,2,2,,,right,0.9518550420034444,right,1,festlig,pjece,delete_later,001,2025-11-23_22-11-50,
90,forkert_compressed.wav,negative,forkert,sollys,babble_15.wav,leder_reversed.wav,oprørt_reversed.wav,,,,,0,3,3,3,,,right,0.9789127089970862,right,1,sollys,forkert,delete_later,001,2025-11-23_22-11-50,
52,avis_compressed.wav,neutral,avis,kæle,babble_80.wav,dæmpet_reversed.wav,rædsel_reversed.wav,,,,,0,4,4,4,,,left,0.9863127089993213,left,1,avis,kæle,delete_later,001,2025-11-23_22-11-50,
83,tilfreds_compressed.wav,positive,tilfreds,feber,babble_52.wav,modgang_reversed.wav,viden_reversed.wav,,,,,0,5,5,5,,,left,1.0867568749963539,left,1,tilfreds,feber,delete_later,001,2025-11-23_22-11-50,
103,cirkel_compressed.wav,neutral,cirkel,sæde,babble_88.wav,rotte_reversed.wav,nedbrud_reversed.wav,,,,,0,6,6,6,,,left,1.745527207996929,left,1,cirkel,sæde,delete_later,001,2025-11-23_22-11-50,
109,accept_compressed.wav,positive,accept,luder,babble_38.wav,bombe_reversed.wav,illoyal_reversed.wav,,,,,0,7,7,7,,,left,1.1317059579960187,left,1,accept,luder,delete_later,001,2025-11-23_22-11-50,
