trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
4,festlig_compressed.wav,positive,festlig,salat,bab4.wav,bryllup_reversed.wav,forfald_reversed.wav,0,0,0,0,0,-1,-1,0,,,right,1.9266451669973321,right,1,salat,festlig,ebfdf,001,2025-11-10_12-35-35,
5,selvmord_compressed.wav,negative,selvmord,motor,bab2.wav,jubel_reversed.wav,enhed_reversed.wav,0,1,1,1,0,-1,-1,0,,,right,1.2457062500034226,right,1,motor,selvmord,ebfdf,001,2025-11-10_12-35-35,
7,ankel_compressed.wav,neutral,ankel,marked,bab4.wav,kande_reversed.wav,gave_reversed.wav,,,,,0,0,0,0,,,left,4.484139666004921,left,1,ankel,marked,ebfdf,001,2025-11-10_12-35-35,
8,syndig_compressed.wav,negative,syndig,drukne,bab4.wav,brænde_reversed.wav,ære_reversed.wav,,,,,0,1,1,1,,,right,7.171708208989003,right,1,drukne,syndig,ebfdf,001,2025-11-10_12-35-35,
2,knude_compressed.wav,neutral,knude,cirkel,bab2.wav,feber_reversed.wav,kedel_reversed.wav,,,,,0,2,2,2,,,right,5.3574054170021554,right,1,cirkel,knude,ebfdf,001,2025-11-10_12-35-35,
6,sexet_compressed.wav,positive,sexet,taxa,bab3.wav,bange_reversed.wav,enhed_reversed.wav,,,,,0,3,3,3,,,left,2.776738375003333,right,0,taxa,sexet,ebfdf,001,2025-11-10_12-35-35,
3,dæmon_compressed.wav,negative,dæmon,mester,bab7.wav,feber_reversed.wav,ensom_reversed.wav,,,,,0,4,4,4,,,right,2.1540467500017257,right,1,mester,dæmon,ebfdf,001,2025-11-10_12-35-35,
10,trofæ_compressed.wav,positive,trofæ,sygdom,bab2.wav,cirkus_reversed.wav,flirte_reversed.wav,,,,,0,5,5,5,,,left,2.8535914579988457,right,0,sygdom,trofæ,ebfdf,001,2025-11-10_12-35-35,
9,bryllup_compressed.wav,positive,bryllup,cirkel,bab8.wav,fedme_reversed.wav,bryllup_reversed.wav,,,,,0,6,6,6,,,right,2.82272858399665,right,1,cirkel,bryllup,ebfdf,001,2025-11-10_12-35-35,
1,vindue_compressed.wav,neutral,vindue,rigdom,bab3.wav,brænde_reversed.wav,dæmpet_reversed.wav,,,,,0,7,7,7,,,left,4.7366830419923645,left,1,vindue,rigdom,ebfdf,001,2025-11-10_12-35-35,
