trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
10,ære_compressed.wav,positive,ære_compressed,gave_compressed,bab7.wav,accept_reversed.wav,brænde_reversed.wav,0,0,0,0,0,-1,-1,0,,,right,5.6605133329940145,left,0,ære_compressed,gave_compressed,forced-choice-data1,001,2025-11-08_19-17-56,
3,finger_compressed.wav,neutral,finger_compressed,beundret_compressed,bab7.wav,borddug_reversed.wav,diamant_reversed.wav,0,1,1,1,0,-1,-1,0,,,left,6.2075154580015806,left,1,finger_compressed,beundret_compressed,forced-choice-data1,001,2025-11-08_19-17-56,
9,regnbue_compressed.wav,positive,regnbue_compressed,accept_compressed,bab9.wav,blodig_reversed.wav,engel_reversed.wav,,,,,0,0,0,0,,,right,2.676150791994587,left,0,regnbue_compressed,accept_compressed,forced-choice-data1,001,2025-11-08_19-17-56,
5,leder_compressed.wav,positive,leder_compressed,gaffel_compressed,bab7.wav,glæde_reversed.wav,himlen_reversed.wav,,,,,0,1,1,1,,,left,1.8611041250042035,right,0,gaffel_compressed,leder_compressed,forced-choice-data1,001,2025-11-08_19-17-56,
8,voldtægt_compressed.wav,negative,voldtægt_compressed,hjerte_compressed,bab3.wav,glæde_reversed.wav,baby_reversed.wav,,,,,0,2,2,2,,,left,3.2040067499983707,left,1,voldtægt_compressed,hjerte_compressed,forced-choice-data1,001,2025-11-08_19-17-56,
1,smerte_compressed.wav,negative,smerte_compressed,ensom_compressed,bab4.wav,fremskridt_reversed.wav,forfald_reversed.wav,,,,,0,3,3,3,,,right,1.2499832079993212,right,1,ensom_compressed,smerte_compressed,forced-choice-data1,001,2025-11-08_19-17-56,
2,sæde_compressed.wav,neutral,sæde_compressed,grusom_compressed,bab6.wav,borddug_reversed.wav,ære_reversed.wav,,,,,0,4,4,4,,,left,2.001521292004327,left,1,sæde_compressed,grusom_compressed,forced-choice-data1,001,2025-11-08_19-17-56,
7,trofæ_compressed.wav,positive,trofæ_compressed,bygning_compressed,bab7.wav,accept_reversed.wav,genert_reversed.wav,,,,,0,5,5,5,,,right,1.8342164999994566,right,1,bygning_compressed,trofæ_compressed,forced-choice-data1,001,2025-11-08_19-17-56,
4,morder_compressed.wav,negative,morder_compressed,lyse_compressed,bab5.wav,beskidt_reversed.wav,cirkus_reversed.wav,,,,,0,6,6,6,,,left,1.7278171660000226,right,0,lyse_compressed,morder_compressed,forced-choice-data1,001,2025-11-08_19-17-56,
6,gade_compressed.wav,neutral,gade_compressed,engel_compressed,bab1.wav,gratis_reversed.wav,albue_reversed.wav,,,,,0,7,7,7,,,left,1.3790562080030213,left,1,gade_compressed,engel_compressed,forced-choice-data1,001,2025-11-08_19-17-56,
