trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
4,himlen_compressed.wav,positive,himlen,hader,bab8.wav,finger_reversed.wav,bombe_reversed.wav,0,0,0,0,0,-1,-1,0,,,left,1.5051627499997267,left,1,himlen,hader,hi,001,2025-11-08_19-29-07,
9,trussel_compressed.wav,negative,trussel,magisk,bab4.wav,beundret_reversed.wav,affald_reversed.wav,0,1,1,1,0,-1,-1,0,,,left,2.1920080829950166,right,0,magisk,trussel,hi,001,2025-11-08_19-29-07,
2,gaffel_compressed.wav,neutral,gaffel,hjerte,bab5.wav,forpint_reversed.wav,brænde_reversed.wav,,,,,0,0,0,0,,,right,1.1492805829984718,right,1,hjerte,gaffel,hi,001,2025-11-08_19-29-07,
5,ugle_compressed.wav,neutral,ugle,måned,bab5.wav,frelser_reversed.wav,bygning_reversed.wav,,,,,0,1,1,1,,,right,1.2575177920007263,right,1,måned,ugle,hi,001,2025-11-08_19-29-07,
6,fase_compressed.wav,neutral,fase,grusom,bab9.wav,diamant_reversed.wav,gidsel_reversed.wav,,,,,0,2,2,2,,,left,1.4936052080010995,right,0,grusom,fase,hi,001,2025-11-08_19-29-07,
10,fængsel_compressed.wav,negative,fængsel,blodig,bab2.wav,gave_reversed.wav,forår_reversed.wav,,,,,0,3,3,3,,,left,1.7317675000012969,left,1,fængsel,blodig,hi,001,2025-11-08_19-29-07,
1,vinde_compressed.wav,positive,vinde,nedbrud,bab5.wav,dollar_reversed.wav,cirkel_reversed.wav,,,,,0,4,4,4,,,right,1.5050764170009643,right,1,nedbrud,vinde,hi,001,2025-11-08_19-29-07,
8,succes_compressed.wav,positive,succes,lampe,bab2.wav,ankel_reversed.wav,djævel_reversed.wav,,,,,0,5,5,5,,,left,1.874050124999485,right,0,lampe,succes,hi,001,2025-11-08_19-29-07,
3,hader_compressed.wav,negative,hader,sikker,bab7.wav,gratis_reversed.wav,fjollet_reversed.wav,,,,,0,6,6,6,,,left,1.3478404589986894,left,1,hader,sikker,hi,001,2025-11-08_19-29-07,
7,kæle_compressed.wav,positive,kæle,jubel,bab5.wav,dollar_reversed.wav,bryllup_reversed.wav,,,,,0,7,7,7,,,right,2.9716183750060736,right,1,jubel,kæle,hi,001,2025-11-08_19-29-07,
