signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
present,0.5,flirte_compressed.wav,flirte,babble_83.wav,vinde_reversed.wav,kærtegn_reversed.wav,0,0,0,0,0,-1,-1,0,,,z,1.8179969000048004,Miss,0.55359424419236,9123,001,2025-12-06_17-38-12,
present,0.6,fase_compressed.wav,fase,babble_38.wav,borddug_reversed.wav,røver_reversed.wav,0,1,1,1,0,-1,-1,0,,,z,1.4846466000308283,Miss,0.9958857154727635,9123,001,2025-12-06_17-38-12,
absent,0.3,SILENCE,NA,babble_6.wav,viden_reversed.wav,latter_reversed.wav,0,2,2,2,0,-1,-1,0,,,z,1.9129366999841295,Correct Rejection,0.6509822719226263,9123,001,2025-12-06_17-38-12,
present,0.2,afskyr_compressed.wav,afskyr,babble_45.wav,luksus_reversed.wav,grusom_reversed.wav,0,3,3,3,0,-1,-1,0,,,m,1.0589806999778375,Hit,1.0108286599810778,9123,001,2025-12-06_17-38-12,
absent,0.5,SILENCE,NA,babble_51.wav,søsyg_reversed.wav,gaffel_reversed.wav,0,4,4,4,0,-1,-1,0,,,z,2.099930799973663,Correct Rejection,1.2516826305658806,9123,001,2025-12-06_17-38-12,
present,0.7,ledning_compressed.wav,ledning,babble_84.wav,fedme_reversed.wav,salat_reversed.wav,0,5,5,5,0,-1,-1,0,,,z,1.6163539999979548,Miss,1.1383084043844875,9123,001,2025-12-06_17-38-12,
absent,0.7,SILENCE,NA,babble_19.wav,sejre_reversed.wav,drukne_reversed.wav,0,6,6,6,0,-1,-1,0,,,z,1.1826372999930754,Correct Rejection,0.8147093178271794,9123,001,2025-12-06_17-38-12,
present,0.4,venlig_compressed.wav,venlig,babble_13.wav,fjendtlig_reversed.wav,humor_reversed.wav,0,7,7,7,0,-1,-1,0,,,z,1.252869300020393,Miss,0.658635577410644,9123,001,2025-12-06_17-38-12,
present,0.1,udskud_compressed.wav,udskud,babble_8.wav,spise_reversed.wav,baby_reversed.wav,0,8,8,8,0,-1,-1,0,,,z,1.7462068000459112,Miss,1.430158756337171,9123,001,2025-12-06_17-38-12,
absent,0.1,SILENCE,NA,babble_12.wav,viden_reversed.wav,rotte_reversed.wav,0,9,9,9,0,-1,-1,0,,,z,1.346374000015203,Correct Rejection,0.5438064402882209,9123,001,2025-12-06_17-38-12,
absent,0.6,SILENCE,NA,babble_58.wav,opstemt_reversed.wav,vinde_reversed.wav,0,10,10,10,0,-1,-1,0,,,z,2.0878122999565676,Correct Rejection,0.6408024609771629,9123,001,2025-12-06_17-38-12,
absent,0.4,SILENCE,NA,babble_15.wav,hånlig_reversed.wav,bygning_reversed.wav,0,11,11,11,0,-1,-1,0,,,z,1.5266300999792293,Correct Rejection,0.5548671427877673,9123,001,2025-12-06_17-38-12,
absent,0.2,SILENCE,NA,babble_75.wav,skuffe_reversed.wav,nøgle_reversed.wav,0,12,12,12,0,-1,-1,0,,,z,1.7613902000011876,Correct Rejection,1.2167648695360265,9123,001,2025-12-06_17-38-12,
