English,Danish,Pleasure,Arousal,Dominance
rape,voldtægt,14.172336,77.210884,33.673469
suicide,selvmord,14.172336,64.965986,40.589569
rejected,afvist,17.006803,72.222222,30.839002
murderer,morder,17.346939,84.693878,42.743764
suffocate,kvæles,17.687075,68.367347,39.002268
torture,tortur,17.687075,69.160998,37.755102
slaughter,slagtning,18.594104,76.75737,43.310658
failure,fiasko,19.274376,56.122449,27.210884
rabies,rabies,20.068027,69.160998,43.650794
abuse,misbrug,20.408163,77.437642,41.836735
slave,slave,20.861678,70.408163,37.301587
drown,drukne,21.768707,74.489796,32.426304
disloyal,illoyal,21.882086,74.376417,42.970522
cruel,grusom,22.335601,64.399093,48.072562
afraid,bange,22.675737,75.623583,45.124717
bankrupt,konkurs,22.675737,70.408163,37.07483
upset,oprørt,22.675737,66.439909,46.258503
prison,fængsel,23.24263,64.62585,47.619048
seasick,søsyg,23.24263,65.759637,38.662132
unfaithful,utro,23.24263,70.294785,34.240363
bomb,bombe,23.809524,81.06576,51.473923
toxic,giftig,23.809524,72.562358,50.113379
trauma,traume,23.809524,71.768707,32.199546
demon,dæmon,23.922902,76.643991,55.442177
anguished,forpint,24.036281,60.430839,39.115646
hate,hader,24.036281,78.798186,57.256236
pain,smerte,24.14966,73.696145,42.063492
detest,afskyr,24.603175,68.707483,66.099773
lonely,ensom,24.603175,51.133787,33.446712
victim,offer,24.716553,68.707483,30.498866
hostage,gidsel,24.943311,76.643991,32.086168
devil,djævel,25.056689,68.820862,60.657596
fearful,frygtsom,25.510204,71.768707,41.269841
loser,taber,25.510204,56.122449,34.240363
sickness,sygdom,25.510204,63.605442,43.537415
rotten,forfald,25.623583,51.360544,48.979592
gangrene,koldbrand,25.85034,64.62585,38.095238
violent,voldsom,25.963719,78.117914,58.503401
whore,luder,26.077098,66.326531,52.267574
crash,nedbrud,26.190476,78.798186,39.002268
tumor,tumor,26.75737,73.809524,40.589569
putrid,rådden,26.984127,65.079365,55.442177
disappoint,skuffe,27.097506,55.782313,37.301587
scum,udskud,27.55102,55.328798,48.29932
ugly,grimme,27.55102,60.997732,48.29932
deserter,ørken,27.777778,62.358277,42.743764
disgusted,væmmes,27.777778,61.451247,49.206349
hardship,modgang,27.777778,53.968254,47.845805
injury,skade,28.231293,64.512472,40.47619
coffin,kiste,29.024943,57.029478,46.258503
robber,røver,29.591837,63.718821,41.043084
guilty,skyldig,29.818594,68.480726,35.034014
trash,affald,30.272109,47.165533,59.410431
vandal,vandal,30.725624,72.562358,44.331066
burn,brænde,30.952381,70.521542,47.845805
hostile,fjendtlig,30.952381,73.015873,54.988662
obesity,fedme,30.952381,43.877551,42.403628
coward,kujon,31.06576,46.145125,32.086168
crisis,krise,31.06576,61.678005,40.816327
fever,feber,31.292517,48.639456,39.909297
horror,rædsel,31.292517,81.746032,52.494331
pervert,pervers,31.632653,70.975057,53.514739
brutal,brutal,31.746032,74.829932,52.040816
foul,forkert,31.85941,55.895692,51.133787
insane,sindssyg,32.312925,66.099773,46.712018
menace,trussel,32.653061,62.585034,56.462585
bloody,blodig,32.879819,72.675737,44.897959
sinful,syndig,33.219955,71.315193,48.072562
riot,oprør,33.560091,72.44898,47.39229
rat,rotte,34.240363,56.122449,51.587302
scornful,hånlig,34.240363,57.142857,52.040816
dirty,beskidt,34.920635,55.328798,53.287982
dfv,dfv,dfv,23423,234
dfv,dfv,dfv,23423,234
dfv,dfv,dfv,23423,234
dfv,dfv,dfv,23423,234
dfv,dfv,dfv,23423,234
dfv,dfv,dfv,23423,234
dfv,dfv,dfv,23423,234
dfv,dfv,dfv,23423,234
dfv,dfv,dfv,23423,234


