English,Danish,Pleasure,Arousal,Dominance
kettle,kedel,59.183673,36.507937,56.689342
street,gade,59.183673,38.435374,54.535147
jug,kande,59.410431,43.99093,57.256236
office,kontor,59.410431,46.258503,63.378685
engine,motor,58.956916,45.124717,56.689342
paper,papir,58.956916,28.344671,50.680272
hairpin,hårnål,59.637188,37.07483,57.256236
item,genstand,59.637188,36.734694,59.637188
ankle,ankel,59.750567,47.165533,54.081633
phase,fase,58.61678,45.124717,52.721088
statue,statue,58.61678,39.229025,56.122449
building,bygning,59.977324,44.444444,59.52381
chin,hage,59.977324,37.528345,59.637188
finger,finger,59.977324,42.857143,57.256236
fork,gaffel,59.977324,44.897959,65.079365
patent,patent,59.977324,39.68254,55.555556
month,måned,58.390023,45.69161,54.988662
journal,avis,58.276644,45.918367,59.637188
utensil,redskab,58.276644,40.47619,61.22449
elbow,albue,58.049887,43.197279,55.328798
sphere,kugle,60.430839,43.99093,56.689342
poster,plakat,60.544218,44.557823,55.668934
cord,ledning,57.823129,40.136054,56.689342
barrel,tønde,57.256236,38.095238,55.442177
banner,banner,61.22449,43.424036,54.421769
lamp,lampe,61.337868,43.0839,59.750567
violin,violin,61.564626,39.569161,58.730159
taxi,taxa,56.689342,38.662132,52.60771
metal,metal,56.122449,42.970522,60.997732
seat,sæde,56.122449,33.446712,54.875283
mantel,borddug,55.895692,37.07483,56.122449
nun,nonne,55.895692,33.219955,55.895692
museum,museum,62.811791,40.816327,60.31746
blase,boble,55.442177,44.671202,51.814059
unit,enhed,63.378685,42.517007,57.936508
ketchup,ketchup,63.492063,46.371882,59.977324
paint,maling,63.718821,46.485261,65.192744
stomach,mave,54.648526,44.557823,53.061224
pamphlet,pjece,54.30839,41.043084,52.494331
market,marked,64.172336,46.712018,59.750567
circle,cirkel,64.285714,43.764172,57.029478
key,nøgle,64.399093,41.950113,56.462585
teacher,lærer,64.399093,45.918367,57.936508
salad,salat,65.079365,43.197279,62.018141
subdued,dæmpet,52.947846,32.879819,46.258503
owl,ugle,65.759637,45.124717,65.986395
knot,knude,52.60771,46.145125,52.947846
shy,genert,52.60771,42.743764,39.002268
nonsense,nonsens,52.267574,47.278912,55.555556
humble,ydmyg,66.439909,42.403628,53.968254
poetry,poesi,66.439909,45.351474,60.204082
stool,skammel,51.70068,45.351474,56.462585
window,vindue,67.006803,45.011338,55.668934
